rank,domain,categories
1,facebook.com,Social Networks
2,googleapis.com,Content Servers;Webmail
3,google.com,Search Engines
4,tiktokcdn.com,Content Servers;Social Networks
5,apple.com,Information Technology;Technology
6,akamai.net,Content Servers
7,akadns.net,Content Servers
8,tiktokv.com,Social Networks;Video Streaming
9,fbcdn.net,Social Networks
10,aaplimg.com,Information Technology;Content Servers;Technology
11,cdn77.org,Content Servers
12,apple-dns.net,Content Servers
13,tiktokcdn-us.com,Content Servers
14,icloud.com,File Sharing
15,youtube.com,Video Streaming
16,akamaiedge.net,Content Servers
17,gstatic.com,Content Servers
18,netflix.com,Movies;Video Streaming
19,googlevideo.com,Search Engines;Video Streaming
20,bytefcdn-oversea.com,
21,office.com,Technology
22,microsoft.com,Information Technology;Business
23,instagram.com,Social Networks
24,app-measurement.com,APIs
25,doubleclick.net,Advertisements
26,googleusercontent.com,Content Servers
27,gvt2.com,Content Servers
28,live.com,Technology;Webmail
29,googlesyndication.com,Search Engines;Advertisements
30,ytimg.com,Content Servers
31,ttlivecdn.com,Content Servers
32,amazonaws.com,Technology
33,cloudflare.com,Technology
34,snapchat.com,Social Networks
35,gmail.com,Webmail
36,ggpht.com,Content Servers
37,spotify.com,Audio Streaming
38,fastly.net,Information Security;Information Technology;Technology
39,bytefcdn-ttpeu.com,Content Servers
40,one.one,Information Technology
41,cloudfront.net,Content Servers;Science;Technology
42,bing.com,Search Engines
43,msn.com,News & Media
44,akamaized.net,Content Servers
45,worldfcdn2.com,Content Servers
46,ntp.org,Technology
47,roblox.com,Gaming;Safe for Kids
48,googleadservices.com,Advertisements
49,amazon-adsystem.com,Advertisements
50,rocket-cdn.com,Content Servers
51,amazon.com,Ecommerce
52,unity3d.com,Gaming;Technology
53,office.net,Content Servers
54,skype.com,Instant Messengers;Internet Phone & VOIP
55,pki.goog,Information Security
56,ovscdns.net,Content Servers
57,microsoftonline.com,Technology
58,rbxcdn.com,Content Servers
59,whatsapp.net,Instant Messengers;Internet Phone & VOIP
60,rubiconproject.com,Advertisements
61,baidu.com,Search Engines
62,atomile.com,No Content
63,windowsupdate.com,Information Technology;Business
64,mzstatic.com,Information Technology;Technology
65,epicgames.com,Ecommerce;Gaming
66,googletagmanager.com,Content Servers
67,adnxs.com,Content Servers
68,cdn-apple.com,Content Servers
69,google-analytics.com,Business;Technology
70,yahoo.com,News & Media
71,a2z.com,Content Servers
72,avast.com,Technology
73,msftncsi.com,Content Servers
74,kaspersky.com,Technology
75,surfshark.com,CIPA Filter;Anonymizer
76,aliexpress.com,Ecommerce
77,lencr.org,Information Technology
78,fbsbx.com,Content Servers
79,dropbox.com,File Sharing
80,playstation.net,Gaming
81,avcdn.net,Content Servers
82,criteo.com,Business
83,taboola.com,Business;Advertisements
84,applovin.com,Gaming
85,gvt1.com,Content Servers
86,office365.com,Technology
87,smartadserver.com,Advertisements
88,samsung.com,Home & Garden;Technology
89,qlivecdn.com,
90,mozilla.com,Information Technology
91,windows.com,Information Technology
92,facebook.net,Social Networks
93,msedge.net,Content Servers
94,casalemedia.com,Advertisements
95,windows.net,Technology
96,trafficmanager.net,Content Servers
97,appsflyersdk.com,Content Servers
98,ibyteimg.com,Content Servers
99,discord.com,Instant Messengers;Internet Phone & VOIP
100,pubmatic.com,Business;Technology
