rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,office.com,Technology
7,live.com,Technology;Webmail
8,bing.com,Search Engines
9,apple.com,Information Technology;Technology
10,tiktokcdn.com,Content Servers;Social Networks
11,akadns.net,Content Servers
12,akamaiedge.net,Content Servers
13,whatsapp.net,Instant Messengers;Internet Phone & VOIP
14,akamai.net,Content Servers
15,office.net,Content Servers
16,doubleclick.net,Advertisements
17,googlevideo.com,Search Engines;Video Streaming
18,office365.com,Technology
19,tiktokv.com,Social Networks;Video Streaming
20,azure.com,Technology
21,gvt2.com,Content Servers
22,ui.com,Technology
23,trafficmanager.net,Content Servers
24,msn.com,News & Media
25,youtube.com,Video Streaming
26,googleusercontent.com,Content Servers
27,msftncsi.com,Content Servers
28,fbcdn.net,Social Networks
29,amazonaws.com,Technology
30,cloudflare-dns.com,Content Servers
31,msftconnecttest.com,Content Servers
32,ntp.org,Technology
33,windowsupdate.com,Information Technology;Business
34,microsoftonline.com,Technology
35,tiktokcdn-us.com,Content Servers
36,apple-dns.net,Content Servers
37,googlesyndication.com,Search Engines;Advertisements
38,ytimg.com,Content Servers
39,instagram.com,Social Networks
40,windows.com,Information Technology
41,skype.com,Instant Messengers;Internet Phone & VOIP
42,cloudfront.net,Content Servers;Science;Technology
43,aaplimg.com,Information Technology;Content Servers;Technology
44,grammarly.com,Artificial Intelligence;Hobbies & Interests
45,a-msedge.net,Content Servers
46,sharepoint.com,File Sharing;Technology
47,dns.google,Information Technology
48,cloudflare.com,Technology
49,yahoo.com,News & Media
50,spotify.com,Audio Streaming
51,lencr.org,Information Technology
52,icloud.com,File Sharing
53,google-analytics.com,Business;Technology
54,azureedge.net,Content Servers
55,adobe.io,Business;Technology
56,netflix.com,Movies;Video Streaming
57,linkedin.com,Professional Networking
58,gvt1.com,Content Servers
59,kaspersky.com,Technology
60,fastly.net,Information Security;Information Technology;Technology
61,outlook.com,Webmail
62,avcdn.net,Content Servers
63,msedge.net,Content Servers
64,windows.net,Technology
65,grammarly.io,Information Technology;Content Servers
66,avast.com,Technology
67,dropbox.com,File Sharing
68,msidentity.com,Information Technology
69,amazon-adsystem.com,Advertisements
70,digicert.com,Information Security
71,google.com.pg,Search Engines
72,baidu.com,Search Engines
73,akamaized.net,Content Servers
74,googleadservices.com,Advertisements
75,googletagmanager.com,Content Servers
76,gmail.com,Webmail
77,qq.com,News & Media
78,pki.goog,Information Security
79,ttlivecdn.com,Content Servers
80,adobe.com,Technology
81,applovin.com,Gaming
82,pubmatic.com,Business;Technology
83,edgekey.net,Information Technology;Content Servers;Shopping
84,amazon.com,Ecommerce
85,teamviewer.com,Information Technology
86,firefox.com,Information Technology
87,cdn77.org,Content Servers
88,opera.com,Technology
89,rubiconproject.com,Advertisements
90,ggpht.com,Content Servers
91,mozilla.org,Technology
92,adnxs.com,Content Servers
93,app-measurement.com,APIs
94,whatsapp.com,Instant Messengers;Internet Phone & VOIP
95,surfshark.com,CIPA Filter;Anonymizer
96,live.net,Content Servers
97,mcafee.com,Technology
98,sophos.com,Information Technology
99,zoom.us,Technology
100,mozilla.com,Information Technology
