rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,tiktokcdn.com,Content Servers;Social Networks
6,tiktokv.com,Social Networks;Video Streaming
7,microsoft.com,Information Technology;Business
8,googlevideo.com,Search Engines;Video Streaming
9,youtube.com,Video Streaming
10,instagram.com,Social Networks
11,gvt2.com,Content Servers
12,doubleclick.net,Advertisements
13,whatsapp.net,Instant Messengers;Internet Phone & VOIP
14,fbcdn.net,Social Networks
15,snapchat.com,Social Networks
16,ytimg.com,Content Servers
17,googleusercontent.com,Content Servers
18,apple.com,Information Technology;Technology
19,googlesyndication.com,Search Engines;Advertisements
20,ttlivecdn.com,Content Servers
21,cloudflare.com,Technology
22,akamai.net,Content Servers
23,gvt1.com,Content Servers
24,google-analytics.com,Business;Technology
25,ggpht.com,Content Servers
26,cloudflare-dns.com,Content Servers
27,google.com.pk,Search Engines
28,googleadservices.com,Advertisements
29,bing.com,Search Engines
30,amazonaws.com,Technology
31,shalltry.com,Content Servers
32,cloudfront.net,Content Servers;Science;Technology
33,cdn77.org,Content Servers
34,akadns.net,Content Servers
35,googletagmanager.com,Content Servers
36,live.com,Technology;Webmail
37,tiktokcdn-us.com,Content Servers
38,netflix.com,Movies;Video Streaming
39,akamaiedge.net,Content Servers
40,apple-dns.net,Content Servers
41,applovin.com,Gaming
42,vivoglobal.com,Technology
43,app-measurement.com,APIs
44,sc-cdn.net,Content Servers
45,ampproject.org,Information Technology
46,msn.com,News & Media
47,xhpingcdn.com,Content Servers
48,ntp.org,Technology
49,whatsapp.com,Instant Messengers;Internet Phone & VOIP
50,linkedin.com,Professional Networking
51,bytefcdn-oversea.com,
52,icloud.com,File Sharing
53,yahoo.com,News & Media
54,amazon-adsystem.com,Advertisements
55,pangle.io,Content Servers
56,spotify.com,Audio Streaming
57,amazon.com,Ecommerce
58,dns.google,Information Technology
59,unity3d.com,Gaming;Technology
60,android.com,Technology
61,daraz.pk,Ecommerce
62,snackvideo.in,
63,ibyteimg.com,Content Servers
64,office.com,Technology
65,aaplimg.com,Information Technology;Content Servers;Technology
66,tiktok.com,Social Networks;Video Streaming;Advertisements
67,twitter.com,Social Networks
68,grammarly.com,Artificial Intelligence;Hobbies & Interests
69,tsyndicate.com,Content Servers
70,facebook.net,Social Networks
71,appsflyersdk.com,Content Servers
72,skype.com,Instant Messengers;Internet Phone & VOIP
73,akamaized.net,Content Servers
74,appsflyer.com,Business;Technology
75,taboola.com,Business;Advertisements
76,byteoversea.com,Content Servers
77,cdninstagram.com,Content Servers
78,windows.com,Information Technology
79,rubiconproject.com,Advertisements
80,sacdnssedge.com,
81,mtgglobals.com,Content Servers
82,igamecj.com,Content Servers
83,qq.com,News & Media
84,grammarly.io,Information Technology;Content Servers
85,alicdn.com,Content Servers
86,clarity.ms,Content Servers
87,surfshark.com,CIPA Filter;Anonymizer
88,pubmatic.com,Business;Technology
89,adnxs.com,Content Servers
90,keepxh.life,Technology
91,xcoinsystem.com,Content Servers
92,roblox.com,Gaming;Safe for Kids
93,yandex.ru,News & Media
94,fastly.net,Information Security;Information Technology;Technology
95,isnssdk.com,Content Servers
96,vungle.com,Business;Technology
97,wikipedia.org,Education
98,azureedge.net,Content Servers
99,fbsbx.com,Content Servers
100,opera.com,Technology
