rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,tiktokcdn.com,Content Servers;Social Networks
8,amazonaws.com,Technology
9,ui.com,Technology
10,akadns.net,Content Servers
11,youtube.com,Video Streaming
12,office.com,Technology
13,akamai.net,Content Servers
14,apple-dns.net,Content Servers
15,netflix.com,Movies;Video Streaming
16,googlevideo.com,Search Engines;Video Streaming
17,live.com,Technology;Webmail
18,icloud.com,File Sharing
19,tiktokcdn-us.com,Content Servers
20,amazon.com,Ecommerce
21,spotify.com,Audio Streaming
22,whatsapp.net,Instant Messengers;Internet Phone & VOIP
23,akamaiedge.net,Content Servers
24,doubleclick.net,Advertisements
25,aaplimg.com,Information Technology;Content Servers;Technology
26,cdn77.org,Content Servers
27,bing.com,Search Engines
28,cloudfront.net,Content Servers;Science;Technology
29,instagram.com,Social Networks
30,ring.com,Business;Photography
31,tiktokv.us,Content Servers
32,gvt2.com,Content Servers
33,fbcdn.net,Social Networks
34,ntp.org,Technology
35,msn.com,News & Media
36,tiktokv.com,Social Networks;Video Streaming
37,cloudflare-dns.com,Content Servers
38,googlesyndication.com,Search Engines;Advertisements
39,googleusercontent.com,Content Servers
40,office365.com,Technology
41,ttlivecdn.com,Content Servers
42,microsoftonline.com,Technology
43,windowsupdate.com,Information Technology;Business
44,bytefcdn-oversea.com,
45,yahoo.com,News & Media
46,ytimg.com,Content Servers
47,fastly.net,Information Security;Information Technology;Technology
48,roku.com,Ecommerce;Technology;Video Streaming
49,snapchat.com,Social Networks
50,office.net,Content Servers
51,playstation.net,Gaming
52,epicgames.com,Ecommerce;Gaming
53,msftncsi.com,Content Servers
54,worldfcdn2.com,Content Servers
55,a2z.com,Content Servers
56,lencr.org,Information Technology
57,azure.com,Technology
58,skype.com,Instant Messengers;Internet Phone & VOIP
59,roblox.com,Gaming;Safe for Kids
60,windows.net,Technology
61,rings.solutions,Content Servers
62,cloudflare.com,Technology
63,ggpht.com,Content Servers
64,digicert.com,Information Security
65,gmail.com,Webmail
66,app-measurement.com,APIs
67,windows.com,Information Technology
68,amazon-adsystem.com,Advertisements
69,pki.goog,Information Security
70,dropbox.com,File Sharing
71,cdn-apple.com,Content Servers
72,googleadservices.com,Advertisements
73,rbxcdn.com,Content Servers
74,bytefcdn-ttpeu.com,Content Servers
75,amazon.dev,Content Servers
76,nflxso.net,Content Servers
77,google-analytics.com,Business;Technology
78,google.com.pr,Search Engines
79,dns.google,Information Technology
80,amazonalexa.com,Content Servers
81,akamaized.net,Content Servers
82,sentry.io,Business
83,unity3d.com,Gaming;Technology
84,sharepoint.com,File Sharing;Technology
85,unifi-ai.com,Content Servers
86,msftconnecttest.com,Content Servers
87,bamgrid.com,Content Servers
88,xboxlive.com,Gaming
89,app-analytics-services.com,Content Servers
90,sonnenbatterie.de,Business
91,atomile.com,No Content
92,trafficmanager.net,Content Servers
93,firetvcaptiveportal.com,Content Servers
94,rubiconproject.com,Advertisements
95,mcafee.com,Technology
96,discord.com,Instant Messengers;Internet Phone & VOIP
97,sonnen.de,Business
98,gamepass.com,Gaming;Information Technology
99,scdn.co,Content Servers
100,netgear.com,Business;Technology
