rank,domain,categories
1,google.com,Search Engines
2,facebook.com,Social Networks
3,tiktokcdn.com,Content Servers;Social Networks
4,googleapis.com,Content Servers;Webmail
5,gstatic.com,Content Servers
6,tiktokv.com,Social Networks;Video Streaming
7,tiktokcdn-us.com,Content Servers
8,apple.com,Information Technology;Technology
9,instagram.com,Social Networks
10,cdn77.org,Content Servers
11,akamai.net,Content Servers
12,whatsapp.net,Instant Messengers;Internet Phone & VOIP
13,snapchat.com,Social Networks
14,microsoft.com,Information Technology;Business
15,ttlivecdn.com,Content Servers
16,fbcdn.net,Social Networks
17,bytefcdn-oversea.com,
18,googlevideo.com,Search Engines;Video Streaming
19,akamaiedge.net,Content Servers
20,nakheelteam.cc,Technology
21,akadns.net,Content Servers
22,youtube.com,Video Streaming
23,doubleclick.net,Advertisements
24,apple-dns.net,Content Servers
25,worldfcdn2.com,Content Servers
26,sc-cdn.net,Content Servers
27,gvt2.com,Content Servers
28,bytefcdn-ttpeu.com,Content Servers
29,icloud.com,File Sharing
30,aaplimg.com,Information Technology;Content Servers;Technology
31,sc-gw.com,Content Servers
32,googleusercontent.com,Content Servers
33,ytimg.com,Content Servers
34,rocket-cdn.com,Content Servers
35,googlesyndication.com,Search Engines;Advertisements
36,atomile.com,No Content
37,office.com,Technology
38,wsdvs.com,Content Servers
39,ibyteimg.com,Content Servers
40,app-measurement.com,APIs
41,igamecj.com,Content Servers
42,qlivecdn.com,
43,live.com,Technology;Webmail
44,one.one,Information Technology
45,amazonaws.com,Technology
46,rocket-cdnbp.com,
47,byteoversea.net,Content Servers
48,appsflyersdk.com,Content Servers
49,ttdns2.com,
50,unity3d.com,Gaming;Technology
51,ggpht.com,Content Servers
52,google-analytics.com,Business;Technology
53,pki.goog,Information Security
54,fastly.net,Information Security;Information Technology;Technology
55,ovscdns.net,Content Servers
56,cloudflare.com,Technology
57,applovin.com,Gaming
58,bing.com,Search Engines
59,azure.com,Technology
60,amazon-adsystem.com,Advertisements
61,cdninstagram.com,Content Servers
62,cloudfront.net,Content Servers;Science;Technology
63,gvt1.com,Content Servers
64,ntp.org,Technology
65,googleadservices.com,Advertisements
66,skype.com,Instant Messengers;Internet Phone & VOIP
67,msn.com,News & Media
68,google.ps,Search Engines
69,akamaized.net,Content Servers
70,fbsbx.com,Content Servers
71,bytetcdn.com,Content Servers
72,cloudflare-dns.com,Content Servers
73,office.net,Content Servers
74,spotify.com,Audio Streaming
75,ttoverseaus.net,Content Servers
76,netflix.com,Movies;Video Streaming
77,byteglb.com,
78,yahoo.com,News & Media
79,trafficmanager.net,Content Servers
80,android.com,Technology
81,tdatamaster.com,
82,googletagmanager.com,Content Servers
83,roblox.com,Gaming;Safe for Kids
84,digicert.com,Information Security
85,whatsapp.com,Instant Messengers;Internet Phone & VOIP
86,appsflyer.com,Business;Technology
87,microsoftonline.com,Technology
88,pangle.io,Content Servers
89,twimg.com,Content Servers
90,vungle.com,Business;Technology
91,xiaomi.com,Technology
92,3gppnetwork.org,Content Servers
93,shalltry.com,Content Servers
94,mtgglobals.com,Content Servers
95,miui.com,Technology
96,truecaller.com,Information Technology;Professional Networking
97,amazon.com,Ecommerce
98,dns.google,Information Technology
99,spbycdn.com,
100,appcenter.ms,Technology
