rank,domain,categories
1,google.com,Search Engines
2,facebook.com,Social Networks
3,tiktokcdn.com,Content Servers;Social Networks
4,gstatic.com,Content Servers
5,googleapis.com,Content Servers;Webmail
6,apple.com,Information Technology;Technology
7,tiktokv.com,Social Networks;Video Streaming
8,microsoft.com,Information Technology;Business
9,tiktokcdn-us.com,Content Servers
10,gvt2.com,Content Servers
11,ttlivecdn.com,Content Servers
12,youtube.com,Video Streaming
13,fbcdn.net,Social Networks
14,cloudflare-dns.com,Content Servers
15,ui.com,Technology
16,googlevideo.com,Search Engines;Video Streaming
17,icloud.com,File Sharing
18,apple-dns.net,Content Servers
19,netflix.com,Movies;Video Streaming
20,doubleclick.net,Advertisements
21,akamaiedge.net,Content Servers
22,amazon.com,Ecommerce
23,aaplimg.com,Information Technology;Content Servers;Technology
24,ntp.org,Technology
25,live.com,Technology;Webmail
26,akadns.net,Content Servers
27,qq.com,News & Media
28,msn.com,News & Media
29,office.com,Technology
30,akamai.net,Content Servers
31,one.one,Information Technology
32,surfshark.com,CIPA Filter;Anonymizer
33,googleusercontent.com,Content Servers
34,grammarly.io,Information Technology;Content Servers
35,amazonaws.com,Technology
36,yahoo.com,News & Media
37,roblox.com,Gaming;Safe for Kids
38,whatsapp.net,Instant Messengers;Internet Phone & VOIP
39,bing.com,Search Engines
40,instagram.com,Social Networks
41,grammarly.com,Artificial Intelligence;Hobbies & Interests
42,spotify.com,Audio Streaming
43,cdn77.org,Content Servers
44,ytimg.com,Content Servers
45,dropbox.com,File Sharing
46,google-analytics.com,Business;Technology
47,snapchat.com,Social Networks
48,avcdn.net,Content Servers
49,pki.goog,Information Security
50,cloudfront.net,Content Servers;Science;Technology
51,douyincdn.com,Content Servers
52,microsoftonline.com,Technology
53,msftncsi.com,Content Servers
54,digicert.com,Information Security
55,unity3d.com,Gaming;Technology
56,ggpht.com,Content Servers
57,appcenter.ms,Technology
58,amazon-adsystem.com,Advertisements
59,skype.com,Instant Messengers;Internet Phone & VOIP
60,unifi-ai.com,Content Servers
61,windowsupdate.com,Information Technology;Business
62,cdn-apple.com,Content Servers
63,samsungcloud.com,Content Servers
64,cloudflare.com,Technology
65,applovin.com,Gaming
66,samsung.com,Home & Garden;Technology
67,app-measurement.com,APIs
68,ring.com,Business;Photography
69,office365.com,Technology
70,amemv.com,Information Technology
71,opera.com,Technology
72,android.com,Technology
73,gvt1.com,Content Servers
74,googlesyndication.com,Search Engines;Advertisements
75,outlook.com,Webmail
76,douyinliving.com,
77,twitter.com,Social Networks
78,bytefcdn-ttpeu.com,Content Servers
79,vivoglobal.com,Technology
80,office.net,Content Servers
81,bitdefender.net,Information Security;Technology
82,bytefcdn-oversea.com,
83,ntppool.org,Technology
84,pstatp.com,Content Servers
85,discord.com,Instant Messengers;Internet Phone & VOIP
86,ixigua.com,Video Streaming
87,worldfcdn2.com,Content Servers
88,samsungapps.com,Technology
89,windows.net,Technology
90,msftconnecttest.com,Content Servers
91,dbankcloud.com,Technology
92,windows.com,Information Technology
93,avast.com,Technology
94,azure.com,Technology
95,dns.google,Information Technology
96,rbxcdn.com,Content Servers
97,phncdn.com,CIPA Filter;Pornography
98,root-servers.net,Technology
99,wsdvs.com,Content Servers
100,lencr.org,Information Technology
