rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,tiktokcdn.com,Content Servers;Social Networks
6,microsoft.com,Information Technology;Business
7,instagram.com,Social Networks
8,apple.com,Information Technology;Technology
9,doubleclick.net,Advertisements
10,tiktokv.com,Social Networks;Video Streaming
11,fbcdn.net,Social Networks
12,whatsapp.net,Instant Messengers;Internet Phone & VOIP
13,gvt2.com,Content Servers
14,cloudfront.net,Content Servers;Science;Technology
15,youtube.com,Video Streaming
16,googlevideo.com,Search Engines;Video Streaming
17,akamai.net,Content Servers
18,snapchat.com,Social Networks
19,tiktokcdn-us.com,Content Servers
20,googleusercontent.com,Content Servers
21,googlesyndication.com,Search Engines;Advertisements
22,akadns.net,Content Servers
23,apple-dns.net,Content Servers
24,cloudflare.com,Technology
25,googleadservices.com,Advertisements
26,ytimg.com,Content Servers
27,ttlivecdn.com,Content Servers
28,cdn77.org,Content Servers
29,amazonaws.com,Technology
30,office.com,Technology
31,google-analytics.com,Business;Technology
32,akamaiedge.net,Content Servers
33,googletagmanager.com,Content Servers
34,aaplimg.com,Information Technology;Content Servers;Technology
35,live.com,Technology;Webmail
36,spotify.com,Audio Streaming
37,gvt1.com,Content Servers
38,icloud.com,File Sharing
39,yahoo.com,News & Media
40,app-measurement.com,APIs
41,bing.com,Search Engines
42,ampproject.org,Information Technology
43,amazon-adsystem.com,Advertisements
44,one.one,Information Technology
45,ntp.org,Technology
46,roblox.com,Gaming;Safe for Kids
47,google.com.qa,Search Engines
48,ggpht.com,Content Servers
49,applovin.com,Gaming
50,cloudflare-dns.com,Content Servers
51,office.net,Content Servers
52,twitter.com,Social Networks
53,cdninstagram.com,Content Servers
54,bytefcdn-oversea.com,
55,whatsapp.com,Instant Messengers;Internet Phone & VOIP
56,azure.com,Technology
57,pangle.io,Content Servers
58,sc-cdn.net,Content Servers
59,akamaized.net,Content Servers
60,unity3d.com,Gaming;Technology
61,office365.com,Technology
62,linkedin.com,Professional Networking
63,criteo.com,Business
64,grammarly.io,Information Technology;Content Servers
65,facebook.net,Social Networks
66,gmail.com,Webmail
67,fastly.net,Information Security;Information Technology;Technology
68,dns.google,Information Technology
69,pubmatic.com,Business;Technology
70,rubiconproject.com,Advertisements
71,android.com,Technology
72,microsoftonline.com,Technology
73,taboola.com,Business;Advertisements
74,adnxs.com,Content Servers
75,pki.goog,Information Security
76,fbpigeon.com,Social Networks
77,trafficmanager.net,Content Servers
78,appsflyersdk.com,Content Servers
79,grammarly.com,Information Technology
80,skype.com,Instant Messengers;Internet Phone & VOIP
81,ibyteimg.com,Content Servers
82,kzhi.tech,Content Servers
83,clarity.ms,Content Servers
84,digicert.com,Information Security
85,appsflyer.com,Business;Technology
86,sc-gw.com,Content Servers
87,msn.com,News & Media
88,vivoglobal.com,Technology
89,xiaomi.com,Technology
90,outlook.com,Webmail
91,vungle.com,Business;Technology
92,aliyuncs.com,Content Servers
93,t.co,Redirect;Social Networks
94,googletagservices.com,Content Servers
95,twimg.com,Content Servers
96,msftncsi.com,Content Servers
97,bytefcdn-ttpeu.com,Content Servers
98,azureedge.net,Content Servers
99,tubecup.net,CIPA Filter;Pornography
100,amazon.com,Ecommerce
