rank,domain,categories
1,yandex.net,News & Media
2,google.com,Search Engines
3,yandex.ru,News & Media
4,googleapis.com,Content Servers;Webmail
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,mail.ru,Webmail
8,gstatic.com,Content Servers
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,userapi.com,Social Networks
11,akadns.net,Content Servers
12,apple-dns.net,Content Servers
13,vk.com,Social Networks
14,microsoft.com,Information Technology;Business
15,instagram.com,Social Networks
16,youtube.com,Video Streaming
17,icloud.com,File Sharing
18,akamaiedge.net,Content Servers
19,googlevideo.com,Search Engines;Video Streaming
20,tiktokcdn.com,Content Servers;Social Networks
21,doubleclick.net,Advertisements
22,akamai.net,Content Servers
23,aaplimg.com,Information Technology;Content Servers;Technology
24,app-measurement.com,APIs
25,mycdn.me,Content Servers
26,cloudflare-dns.com,Content Servers
27,my.com,
28,gvt2.com,Content Servers
29,wildberries.ru,Ecommerce
30,tiktokv.com,Social Networks;Video Streaming
31,ytimg.com,Content Servers
32,yastatic.net,Technology
33,googleusercontent.com,Content Servers
34,unity3d.com,Gaming;Technology
35,dzen.ru,News & Media;Video Streaming
36,fbcdn.net,Social Networks
37,wbbasket.ru,Content Servers
38,wb.ru,Ecommerce
39,amazonaws.com,Technology
40,live.com,Technology;Webmail
41,imgsmail.ru,
42,ntp.org,Technology
43,adriver.ru,Advertisements
44,app-analytics-services.com,Content Servers
45,google-analytics.com,Business;Technology
46,ggpht.com,Content Servers
47,pki.goog,Information Security
48,2miners.com,Cryptocurrency
49,ok.ru,Social Networks;Video Streaming
50,kaspersky.com,Technology
51,mradx.net,Content Servers
52,cdn77.org,Content Servers
53,cloudfront.net,Content Servers;Science;Technology
54,avito.ru,Auctions & Marketplaces
55,tinkoff.ru,Economy & Finance
56,avito.st,Auctions & Marketplaces
57,google.ru,Search Engines
58,googletagmanager.com,Content Servers
59,fastly.net,Information Security;Information Technology;Technology
60,bing.com,Search Engines
61,cloudflare.com,Technology
62,adfox.ru,Business
63,opera.com,Technology
64,appsflyersdk.com,Content Servers
65,appsflyer.com,Business;Technology
66,lencr.org,Information Technology
67,skype.com,Instant Messengers;Internet Phone & VOIP
68,viber.com,Instant Messengers;Internet Phone & VOIP
69,office.com,Technology
70,telegram.org,Instant Messengers
71,digicert.com,Information Security
72,kaspersky-labs.com,Technology
73,dzeninfra.ru,
74,sberbank.ru,Economy & Finance
75,ttlivecdn.com,Content Servers
76,windowsupdate.com,Information Technology;Business
77,msn.com,News & Media
78,ozon.ru,Ecommerce
79,cdninstagram.com,Content Servers
80,buzzoola.com,Business
81,discord.com,Instant Messengers;Internet Phone & VOIP
82,cdn-apple.com,Content Servers
83,ya.ru,Search Engines
84,msftncsi.com,Content Servers
85,applovin.com,Gaming
86,steamstatic.com,Content Servers
87,bytefcdn-oversea.com,
88,mzstatic.com,Information Technology;Technology
89,azure.com,Technology
90,tns-counter.ru,Business
91,roblox.com,Gaming;Safe for Kids
92,crashlytics.com,Information Technology
93,2gis.com,Education;News & Media
94,dns.google,Information Technology
95,ozone.ru,Content Servers
96,weborama.fr,Business;Technology
97,amazon-adsystem.com,Advertisements
98,safebrowsing.apple,Content Servers
99,trafficmanager.net,Content Servers
100,msedge.net,Content Servers
