rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,bing.com,Search Engines
6,office.com,Technology
7,facebook.com,Social Networks
8,gvt2.com,Content Servers
9,doubleclick.net,Advertisements
10,youtube.com,Video Streaming
11,live.com,Technology;Webmail
12,office.net,Content Servers
13,googlevideo.com,Search Engines;Video Streaming
14,fbcdn.net,Social Networks
15,msn.com,News & Media
16,googleusercontent.com,Content Servers
17,office365.com,Technology
18,msftncsi.com,Content Servers
19,skype.com,Instant Messengers;Internet Phone & VOIP
20,windows.com,Information Technology
21,akadns.net,Content Servers
22,apple-dns.net,Content Servers
23,apple.com,Information Technology;Technology
24,whatsapp.net,Instant Messengers;Internet Phone & VOIP
25,tiktokv.com,Social Networks;Video Streaming
26,microsoftonline.com,Technology
27,akamaiedge.net,Content Servers
28,akamai.net,Content Servers
29,pki.goog,Information Security
30,ytimg.com,Content Servers
31,lencr.org,Information Technology
32,windowsupdate.com,Information Technology;Business
33,azureedge.net,Content Servers
34,msftconnecttest.com,Content Servers
35,yahoo.com,News & Media
36,tiktokcdn.com,Content Servers;Social Networks
37,snapchat.com,Social Networks
38,qq.com,News & Media
39,spotify.com,Audio Streaming
40,cloudfront.net,Content Servers;Science;Technology
41,douyincdn.com,Content Servers
42,google-analytics.com,Business;Technology
43,xnxx-cdn.com,CIPA Filter;Pornography
44,ggpht.com,Content Servers
45,aaplimg.com,Information Technology;Content Servers;Technology
46,ui.com,Technology
47,avast.com,Technology
48,digicert.com,Information Security
49,cloudflare-dns.com,Content Servers
50,akamaized.net,Content Servers
51,cdn77.org,Content Servers
52,unifi-ai.com,Content Servers
53,viber.com,Instant Messengers;Internet Phone & VOIP
54,googleadservices.com,Advertisements
55,douyinliving.com,
56,dropbox.com,File Sharing
57,googlesyndication.com,Search Engines;Advertisements
58,ntp.org,Technology
59,googletagmanager.com,Content Servers
60,msedge.net,Content Servers
61,amazonaws.com,Technology
62,azure.com,Technology
63,instagram.com,Social Networks
64,wsdvs.com,Content Servers
65,ttlivecdn.com,Content Servers
66,live.net,Content Servers
67,icloud.com,File Sharing
68,google.com.sb,Search Engines
69,trafficmanager.net,Content Servers
70,ixigua.com,Video Streaming
71,grammarly.io,Information Technology;Content Servers
72,gvt1.com,Content Servers
73,gmail.com,Webmail
74,ks-cdn.com,Content Servers
75,allawnos.com,
76,cloudflare.com,Technology
77,scorecardresearch.com,Business
78,sharepoint.com,File Sharing;Technology
79,applovin.com,Gaming
80,wechat.com,Instant Messengers;Internet Phone & VOIP
81,netflix.com,Movies;Video Streaming
82,rubiconproject.com,Advertisements
83,dns.google,Information Technology
84,app-measurement.com,APIs
85,mcafee.com,Technology
86,outlook.com,Webmail
87,linkedin.com,Professional Networking
88,unity3d.com,Gaming;Technology
89,amemv.com,Information Technology
90,baidu.com,Search Engines
91,ubuntu.com,Technology
92,ntppool.org,Technology
93,appcenter.ms,Technology
94,ampproject.org,Information Technology
95,bytefcdn-oversea.com,
96,pullcm.com,Content Servers
97,signal.org,Instant Messengers
98,cdn-apple.com,Content Servers
99,mozilla.com,Information Technology
100,dbankcloud.cn,Technology
