rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,microsoft.com,Information Technology;Business
6,apple.com,Information Technology;Technology
7,instagram.com,Social Networks
8,gvt2.com,Content Servers
9,googleusercontent.com,Content Servers
10,whatsapp.net,Instant Messengers;Internet Phone & VOIP
11,doubleclick.net,Advertisements
12,fbcdn.net,Social Networks
13,cloudflare-dns.com,Content Servers
14,tiktokcdn.com,Content Servers;Social Networks
15,youtube.com,Video Streaming
16,googlevideo.com,Search Engines;Video Streaming
17,amazonaws.com,Technology
18,akadns.net,Content Servers
19,tiktokv.com,Social Networks;Video Streaming
20,google-analytics.com,Business;Technology
21,apple-dns.net,Content Servers
22,cloudfront.net,Content Servers;Science;Technology
23,icloud.com,File Sharing
24,qq.com,News & Media
25,akamaiedge.net,Content Servers
26,live.com,Technology;Webmail
27,bing.com,Search Engines
28,googlesyndication.com,Search Engines;Advertisements
29,ytimg.com,Content Servers
30,one.one,Information Technology
31,aaplimg.com,Information Technology;Content Servers;Technology
32,windowsupdate.com,Information Technology;Business
33,akamai.net,Content Servers
34,yandex.ru,News & Media
35,cdninstagram.com,Content Servers
36,baidu.com,Search Engines
37,cloudflare.com,Technology
38,ntp.org,Technology
39,gvt1.com,Content Servers
40,yandex.net,News & Media
41,app-measurement.com,APIs
42,telegram.org,Instant Messengers
43,googletagmanager.com,Content Servers
44,cdn77.org,Content Servers
45,lencr.org,Information Technology
46,skype.com,Instant Messengers;Internet Phone & VOIP
47,msftncsi.com,Content Servers
48,office.com,Technology
49,tiktokcdn-us.com,Content Servers
50,msn.com,News & Media
51,pki.goog,Information Security
52,yahoo.com,News & Media
53,twitter.com,Social Networks
54,taobao.com,Ecommerce
55,dns.google,Information Technology
56,sentry.io,Business
57,amazon-adsystem.com,Advertisements
58,digicert.com,Information Security
59,whatsapp.com,Instant Messengers;Internet Phone & VOIP
60,mail.ru,Webmail
61,douyincdn.com,Content Servers
62,fastly.net,Information Security;Information Technology;Technology
63,windows.com,Information Technology
64,outlook.com,Webmail
65,office.net,Content Servers
66,ttlivecdn.com,Content Servers
67,vk.com,Social Networks
68,miui.com,Technology
69,akamaized.net,Content Servers
70,xiaomi.com,Technology
71,ggpht.com,Content Servers
72,spotify.com,Audio Streaming
73,gmail.com,Webmail
74,azure.com,Technology
75,snapchat.com,Social Networks
76,amazon.com,Ecommerce
77,googleadservices.com,Advertisements
78,bytefcdn-oversea.com,
79,github.com,Technology
80,applovin.com,Gaming
81,msftconnecttest.com,Content Servers
82,cdn-apple.com,Content Servers
83,unity3d.com,Gaming;Technology
84,aliyuncs.com,Content Servers
85,userapi.com,Social Networks
86,discord.com,Instant Messengers;Internet Phone & VOIP
87,tiktok.com,Social Networks;Video Streaming;Advertisements
88,wsdvs.com,Content Servers
89,sogou.com,Search Engines
90,appsflyersdk.com,Content Servers
91,trafficmanager.net,Content Servers
92,clarity.ms,Content Servers
93,facebook.net,Social Networks
94,linkedin.com,Professional Networking
95,appcenter.ms,Technology
96,adnxs.com,Content Servers
97,tradingview.com,Economy & Finance;Professional Networking
98,rubiconproject.com,Advertisements
99,azureedge.net,Content Servers
100,githubusercontent.com,Technology
