rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,office.com,Technology
8,akadns.net,Content Servers
9,spotify.com,Audio Streaming
10,akamaiedge.net,Content Servers
11,doubleclick.net,Advertisements
12,live.com,Technology;Webmail
13,apple-dns.net,Content Servers
14,amazonaws.com,Technology
15,tiktokcdn.com,Content Servers;Social Networks
16,azure.com,Technology
17,akamai.net,Content Servers
18,youtube.com,Video Streaming
19,icloud.com,File Sharing
20,googlevideo.com,Search Engines;Video Streaming
21,ui.com,Technology
22,snapchat.com,Social Networks
23,googlesyndication.com,Search Engines;Advertisements
24,bing.com,Search Engines
25,instagram.com,Social Networks
26,googleusercontent.com,Content Servers
27,gvt2.com,Content Servers
28,office.net,Content Servers
29,aaplimg.com,Information Technology;Content Servers;Technology
30,office365.com,Technology
31,tiktokv.com,Social Networks;Video Streaming
32,msn.com,News & Media
33,cloudfront.net,Content Servers;Science;Technology
34,netflix.com,Movies;Video Streaming
35,fbcdn.net,Social Networks
36,ntp.org,Technology
37,trafficmanager.net,Content Servers
38,cloudflare.com,Technology
39,microsoftonline.com,Technology
40,google-analytics.com,Business;Technology
41,adnxs.com,Content Servers
42,skype.com,Instant Messengers;Internet Phone & VOIP
43,ytimg.com,Content Servers
44,fastly.net,Information Security;Information Technology;Technology
45,sharepoint.com,File Sharing;Technology
46,cloudflare-dns.com,Content Servers
47,app-measurement.com,APIs
48,windows.net,Technology
49,outlook.com,Webmail
50,googleadservices.com,Advertisements
51,windowsupdate.com,Information Technology;Business
52,cdn77.org,Content Servers
53,ttlivecdn.com,Content Servers
54,lencr.org,Information Technology
55,rubiconproject.com,Advertisements
56,akamaized.net,Content Servers
57,whatsapp.net,Instant Messengers;Internet Phone & VOIP
58,pki.goog,Information Security
59,scdn.co,Content Servers
60,google.se,Search Engines
61,bytefcdn-oversea.com,
62,msftncsi.com,Content Servers
63,googletagmanager.com,Content Servers
64,adform.net,Content Servers
65,digicert.com,Information Security
66,linkedin.com,Professional Networking
67,sc-cdn.net,Content Servers
68,amazon-adsystem.com,Advertisements
69,yahoo.com,News & Media
70,pubmatic.com,Business;Technology
71,ggpht.com,Content Servers
72,gvt1.com,Content Servers
73,windows.com,Information Technology
74,discord.com,Instant Messengers;Internet Phone & VOIP
75,amazon.com,Ecommerce
76,sentry.io,Business
77,sc-gw.com,Content Servers
78,gmail.com,Webmail
79,azureedge.net,Content Servers
80,dropbox.com,File Sharing
81,slack.com,Instant Messengers
82,msftconnecttest.com,Content Servers
83,nr-data.net,Content Servers
84,cdn-apple.com,Content Servers
85,unifi-ai.com,Content Servers
86,criteo.com,Business
87,bytefcdn-ttpeu.com,Content Servers
88,appcenter.ms,Technology
89,unity3d.com,Gaming;Technology
90,app-analytics-services.com,Content Servers
91,adobe.io,Business;Technology
92,safebrowsing.apple,Content Servers
93,ubnt.com,Technology;Advertisements
94,2mdn.net,Content Servers
95,adobe.com,Technology
96,casalemedia.com,Advertisements
97,epicgames.com,Ecommerce;Gaming
98,mozilla.com,Information Technology
99,svt.se,News & Media;Video Streaming
100,msedge.net,Content Servers
