rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,doubleclick.net,Advertisements
8,youtube.com,Video Streaming
9,office.com,Technology
10,live.com,Technology;Webmail
11,gvt2.com,Content Servers
12,bing.com,Search Engines
13,googleusercontent.com,Content Servers
14,ui.com,Technology
15,tiktokcdn.com,Content Servers;Social Networks
16,googlesyndication.com,Search Engines;Advertisements
17,akadns.net,Content Servers
18,googlevideo.com,Search Engines;Video Streaming
19,spotify.com,Audio Streaming
20,cloudflare-dns.com,Content Servers
21,msn.com,News & Media
22,akamaiedge.net,Content Servers
23,cloudflare.com,Technology
24,amazonaws.com,Technology
25,instagram.com,Social Networks
26,apple-dns.net,Content Servers
27,akamai.net,Content Servers
28,ntp.org,Technology
29,fbcdn.net,Social Networks
30,google-analytics.com,Business;Technology
31,netflix.com,Movies;Video Streaming
32,office.net,Content Servers
33,ytimg.com,Content Servers
34,viber.com,Instant Messengers;Internet Phone & VOIP
35,tiktokv.com,Social Networks;Video Streaming
36,azure.com,Technology
37,icloud.com,File Sharing
38,googleadservices.com,Advertisements
39,windowsupdate.com,Information Technology;Business
40,cloudfront.net,Content Servers;Science;Technology
41,snapchat.com,Social Networks
42,amazon-adsystem.com,Advertisements
43,skype.com,Instant Messengers;Internet Phone & VOIP
44,msftncsi.com,Content Servers
45,google.si,Search Engines
46,lencr.org,Information Technology
47,office365.com,Technology
48,24ur.si,News & Media
49,trafficmanager.net,Content Servers
50,criteo.com,Business
51,rubiconproject.com,Advertisements
52,microsoftonline.com,Technology
53,aaplimg.com,Information Technology;Content Servers;Technology
54,24ur.com,News & Media
55,googletagmanager.com,Content Servers
56,adnxs.com,Content Servers
57,one.one,Information Technology
58,sharepoint.com,File Sharing;Technology
59,yahoo.com,News & Media
60,amazon.com,Ecommerce
61,smartadserver.com,Advertisements
62,fastly.net,Information Security;Information Technology;Technology
63,ggpht.com,Content Servers
64,ttlivecdn.com,Content Servers
65,twitter.com,Social Networks
66,cdn77.org,Content Servers
67,msedge.net,Content Servers
68,pubmatic.com,Business;Technology
69,slack.com,Instant Messengers
70,app-measurement.com,APIs
71,mozilla.com,Information Technology
72,windows.com,Information Technology
73,dropbox.com,File Sharing
74,whatsapp.net,Instant Messengers;Internet Phone & VOIP
75,dotmetrics.net,Business;Technology
76,adform.net,Content Servers
77,avcdn.net,Content Servers
78,epicgames.com,Ecommerce;Gaming
79,openx.net,Advertisements
80,brave.com,Information Technology
81,gmail.com,Webmail
82,discord.com,Instant Messengers;Internet Phone & VOIP
83,casalemedia.com,Advertisements
84,dotmetrics.rocks,Content Servers
85,eset.com,Technology
86,linkedin.com,Professional Networking
87,windows.net,Technology
88,digicert.com,Information Security
89,pki.goog,Information Security
90,msftconnecttest.com,Content Servers
91,grammarly.com,Artificial Intelligence;Hobbies & Interests
92,upscore.com,Business
93,azureedge.net,Content Servers
94,facebook.net,Social Networks
95,ubuntu.com,Technology
96,dns.google,Information Technology
97,akamaized.net,Content Servers
98,unifi-ai.com,Content Servers
99,contentexchange.me,Business;Technology
100,bytefcdn-oversea.com,
