rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,bing.com,Search Engines
8,doubleclick.net,Advertisements
9,gvt2.com,Content Servers
10,whatsapp.net,Instant Messengers;Internet Phone & VOIP
11,tiktokcdn.com,Content Servers;Social Networks
12,akamaiedge.net,Content Servers
13,live.com,Technology;Webmail
14,amazonaws.com,Technology
15,googleusercontent.com,Content Servers
16,akamai.net,Content Servers
17,tiktokv.com,Social Networks;Video Streaming
18,spotify.com,Audio Streaming
19,office.com,Technology
20,apple-dns.net,Content Servers
21,msn.com,News & Media
22,akadns.net,Content Servers
23,adnxs.com,Content Servers
24,googlesyndication.com,Search Engines;Advertisements
25,youtube.com,Video Streaming
26,fbcdn.net,Social Networks
27,skype.com,Instant Messengers;Internet Phone & VOIP
28,cdn77.org,Content Servers
29,office.net,Content Servers
30,instagram.com,Social Networks
31,gmail.com,Webmail
32,cloudfront.net,Content Servers;Science;Technology
33,ui.com,Technology
34,icloud.com,File Sharing
35,googleadservices.com,Advertisements
36,amazon.com,Ecommerce
37,ubuntu.com,Technology
38,imrworldwide.com,Content Servers
39,ttlivecdn.com,Content Servers
40,azure.com,Technology
41,netflix.com,Movies;Video Streaming
42,windowsupdate.com,Information Technology;Business
43,dropbox.com,File Sharing
44,amazon-adsystem.com,Advertisements
45,office365.com,Technology
46,msedge.net,Content Servers
47,ntp.org,Technology
48,a2z.com,Content Servers
49,mozilla.com,Information Technology
50,criteo.com,Business
51,google.sm,Search Engines
52,googlevideo.com,Search Engines;Video Streaming
53,scorecardresearch.com,Business
54,aaplimg.com,Information Technology;Content Servers;Technology
55,smartadserver.com,Advertisements
56,windows.net,Technology
57,microsoftonline.com,Technology
58,kaspersky.com,Technology
59,google-analytics.com,Business;Technology
60,trafficmanager.net,Content Servers
61,yahoo.com,News & Media
62,akamaized.net,Content Servers
63,azureedge.net,Content Servers
64,cdninstagram.com,Content Servers
65,amazon.it,Ecommerce
66,fastly.net,Information Security;Information Technology;Technology
67,pubmatic.com,Business;Technology
68,avcdn.net,Content Servers
69,app-measurement.com,APIs
70,cloudflare-dns.com,Content Servers
71,ytimg.com,Content Servers
72,rubiconproject.com,Advertisements
73,adsafeprotected.com,Advertisements
74,googletagmanager.com,Content Servers
75,lencr.org,Information Technology
76,adobe.io,Business;Technology
77,outbrain.com,Business;Advertisements
78,windows.com,Information Technology
79,cloudflare.com,Technology
80,adobe.com,Technology
81,facebook.net,Social Networks
82,google.it,Search Engines
83,appcenter.ms,Technology
84,dns.google,Information Technology
85,one.one,Information Technology
86,twitter.com,Social Networks
87,iubenda.com,Information Security
88,mozilla.org,Technology
89,adform.net,Content Servers
90,id5-sync.com,Content Servers
91,bytefcdn-oversea.com,
92,openx.net,Advertisements
93,mzstatic.com,Information Technology;Technology
94,jsdelivr.net,Content Servers
95,bidswitch.net,Technology
96,sharepoint.com,File Sharing;Technology
97,firefox.com,Information Technology
98,googletagservices.com,Content Servers
99,teads.tv,Advertisements
100,casalemedia.com,Advertisements
