rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,tiktokv.com,Social Networks;Video Streaming
3,googleapis.com,Content Servers;Webmail
4,facebook.com,Social Networks
5,google.com,Search Engines
6,whatsapp.net,Instant Messengers;Internet Phone & VOIP
7,akamai.net,Content Servers
8,cdn77.org,Content Servers
9,apple.com,Information Technology;Technology
10,bytefcdn-oversea.com,
11,ttlivecdn.com,Content Servers
12,akamaiedge.net,Content Servers
13,snapchat.com,Social Networks
14,akadns.net,Content Servers
15,googlevideo.com,Search Engines;Video Streaming
16,apple-dns.net,Content Servers
17,gstatic.com,Content Servers
18,youtube.com,Video Streaming
19,instagram.com,Social Networks
20,doubleclick.net,Advertisements
21,shalltry.com,Content Servers
22,fbcdn.net,Social Networks
23,app-measurement.com,APIs
24,microsoft.com,Information Technology;Business
25,bytefcdn-ttpeu.com,Content Servers
26,icloud.com,File Sharing
27,ytimg.com,Content Servers
28,googleusercontent.com,Content Servers
29,aaplimg.com,Information Technology;Content Servers;Technology
30,rocket-cdn.com,Content Servers
31,applovin.com,Gaming
32,gvt2.com,Content Servers
33,byteoversea.net,Content Servers
34,fastly.net,Information Security;Information Technology;Technology
35,sc-cdn.net,Content Servers
36,qlivecdn.com,
37,appsflyersdk.com,Content Servers
38,ggpht.com,Content Servers
39,wsdvs.com,Content Servers
40,bangcdn.net,Content Servers
41,unity3d.com,Gaming;Technology
42,one.one,Information Technology
43,atomile.com,No Content
44,byteglb.com,
45,ntp.org,Technology
46,amazonaws.com,Technology
47,v-mate.mobi,Gaming
48,googlesyndication.com,Search Engines;Advertisements
49,ovscdns.net,Content Servers
50,sc-gw.com,Content Servers
51,gvt1.com,Content Servers
52,ibyteimg.com,Content Servers
53,mtgglobals.com,Content Servers
54,crashlytics.com,Information Technology
55,amazon-adsystem.com,Advertisements
56,bing.com,Search Engines
57,cloudflare.com,Technology
58,tiktokcdn-us.com,Content Servers
59,cloudfront.net,Content Servers;Science;Technology
60,pangle.io,Content Servers
61,digicert.com,Information Security
62,ttdns2.com,
63,pki.goog,Information Security
64,ttoverseaus.net,Content Servers
65,office.com,Technology
66,android.com,Technology
67,appsflyer.com,Business;Technology
68,whatsapp.com,Instant Messengers;Internet Phone & VOIP
69,netflix.com,Movies;Video Streaming
70,cloudflare-dns.com,Content Servers
71,google-analytics.com,Business;Technology
72,inner-active.mobi,Content Servers
73,live.com,Technology;Webmail
74,cloudflareclient.com,Content Servers
75,preprod-gcdn.co,
76,bytetcdn.com,Content Servers
77,mncdn.com,Content Servers
78,spbycdn.com,
79,isnssdk.com,Content Servers
80,inmobi.com,Business
81,google.sn,Search Engines
82,vungle.com,Business;Technology
83,googleadservices.com,Advertisements
84,akamaized.net,Content Servers
85,yahoo.com,News & Media
86,appcenter.ms,Technology
87,cdninstagram.com,Content Servers
88,trafficmanager.net,Content Servers
89,sentry.io,Business
90,cdn-apple.com,Content Servers
91,office.net,Content Servers
92,pitaya-clientai.com,
93,gmail.com,Webmail
94,criteo.com,Business
95,googletagmanager.com,Content Servers
96,scooper.news,News & Media;Sports
97,wave.com,Technology
98,mzstatic.com,Information Technology;Technology
99,skype.com,Instant Messengers;Internet Phone & VOIP
100,ui.com,Technology
