rank,domain,categories
1,tiktokcdn.com,Content Servers;Social Networks
2,tiktokv.com,Social Networks;Video Streaming
3,google.com,Search Engines
4,googleapis.com,Content Servers;Webmail
5,facebook.com,Social Networks
6,akamai.net,Content Servers
7,ttlivecdn.com,Content Servers
8,gstatic.com,Content Servers
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,cdn77.org,Content Servers
11,snapchat.com,Social Networks
12,microsoft.com,Information Technology;Business
13,apple.com,Information Technology;Technology
14,akamaiedge.net,Content Servers
15,fbcdn.net,Social Networks
16,bytefcdn-oversea.com,
17,doubleclick.net,Advertisements
18,googlevideo.com,Search Engines;Video Streaming
19,youtube.com,Video Streaming
20,gvt2.com,Content Servers
21,akadns.net,Content Servers
22,apple-dns.net,Content Servers
23,instagram.com,Social Networks
24,ytimg.com,Content Servers
25,bytefcdn-ttpeu.com,Content Servers
26,sc-cdn.net,Content Servers
27,app-measurement.com,APIs
28,googleusercontent.com,Content Servers
29,appsflyersdk.com,Content Servers
30,rocket-cdn.com,Content Servers
31,icloud.com,File Sharing
32,aaplimg.com,Information Technology;Content Servers;Technology
33,ggpht.com,Content Servers
34,wsdvs.com,Content Servers
35,atomile.com,No Content
36,googlesyndication.com,Search Engines;Advertisements
37,ntp.org,Technology
38,amazon-adsystem.com,Advertisements
39,tiktokcdn-us.com,Content Servers
40,cloudfront.net,Content Servers;Science;Technology
41,byteoversea.net,Content Servers
42,applovin.com,Gaming
43,byteglb.com,
44,ibyteimg.com,Content Servers
45,cloudflare.com,Technology
46,cloudflare-dns.com,Content Servers
47,office.com,Technology
48,gvt1.com,Content Servers
49,amazonaws.com,Technology
50,bing.com,Search Engines
51,unity3d.com,Gaming;Technology
52,live.com,Technology;Webmail
53,skype.com,Instant Messengers;Internet Phone & VOIP
54,whatsapp.com,Instant Messengers;Internet Phone & VOIP
55,sc-gw.com,Content Servers
56,dns.google,Information Technology
57,isnssdk.com,Content Servers
58,android.com,Technology
59,fastly.net,Information Security;Information Technology;Technology
60,google-analytics.com,Business;Technology
61,pitaya-clientai.com,
62,google.so,Search Engines
63,yahoo.com,News & Media
64,qlivecdn.com,
65,googleadservices.com,Advertisements
66,ovscdns.net,Content Servers
67,twitter.com,Social Networks
68,igamecj.com,Content Servers
69,pangle.io,Content Servers
70,samsungcloud.com,Content Servers
71,vungle.com,Business;Technology
72,appsflyer.com,Business;Technology
73,akamaized.net,Content Servers
74,netflix.com,Movies;Video Streaming
75,cdninstagram.com,Content Servers
76,ttdns2.com,
77,v-mate.mobi,Gaming
78,office365.com,Technology
79,msn.com,News & Media
80,samsung.com,Home & Garden;Technology
81,spbycdn.com,
82,yandex.ru,News & Media
83,bytetcdn.com,Content Servers
84,googletagmanager.com,Content Servers
85,inmobi.com,Business
86,appcenter.ms,Technology
87,spotify.com,Audio Streaming
88,byteoversea.com,Content Servers
89,samsungapps.com,Technology
90,crashlytics.com,Information Technology
91,mncdn.com,Content Servers
92,pubmatic.com,Business;Technology
93,ttoverseaus.net,Content Servers
94,office.net,Content Servers
95,fbsbx.com,Content Servers
96,pki.goog,Information Security
97,mtgglobals.com,Content Servers
98,ibytedtos.com,Content Servers
99,cdn-apple.com,Content Servers
100,ampproject.org,Information Technology
