rank,domain,categories
1,googleapis.com,Content Servers;Webmail
2,google.com,Search Engines
3,facebook.com,Social Networks
4,gstatic.com,Content Servers
5,tiktokcdn.com,Content Servers;Social Networks
6,microsoft.com,Information Technology;Business
7,doubleclick.net,Advertisements
8,tiktokv.com,Social Networks;Video Streaming
9,gvt2.com,Content Servers
10,googlevideo.com,Search Engines;Video Streaming
11,whatsapp.net,Instant Messengers;Internet Phone & VOIP
12,youtube.com,Video Streaming
13,akamai.net,Content Servers
14,apple.com,Information Technology;Technology
15,akadns.net,Content Servers
16,fbcdn.net,Social Networks
17,ytimg.com,Content Servers
18,office.com,Technology
19,googleadservices.com,Advertisements
20,cdn77.org,Content Servers
21,akamaiedge.net,Content Servers
22,googlesyndication.com,Search Engines;Advertisements
23,google-analytics.com,Business;Technology
24,shalltry.com,Content Servers
25,ttlivecdn.com,Content Servers
26,apple-dns.net,Content Servers
27,aaplimg.com,Information Technology;Content Servers;Technology
28,googleusercontent.com,Content Servers
29,gvt1.com,Content Servers
30,ggpht.com,Content Servers
31,instagram.com,Social Networks
32,amazonaws.com,Technology
33,bing.com,Search Engines
34,bytefcdn-oversea.com,
35,ntp.org,Technology
36,icloud.com,File Sharing
37,live.com,Technology;Webmail
38,app-measurement.com,APIs
39,qq.com,News & Media
40,skype.com,Instant Messengers;Internet Phone & VOIP
41,amazon-adsystem.com,Advertisements
42,cloudflare.com,Technology
43,netflix.com,Movies;Video Streaming
44,office.net,Content Servers
45,bytefcdn-ttpeu.com,Content Servers
46,googletagmanager.com,Content Servers
47,msn.com,News & Media
48,snapchat.com,Social Networks
49,rocket-cdn.com,Content Servers
50,ampproject.org,Information Technology
51,rubiconproject.com,Advertisements
52,office365.com,Technology
53,linkedin.com,Professional Networking
54,cloudfront.net,Content Servers;Science;Technology
55,spotify.com,Audio Streaming
56,fastly.net,Information Security;Information Technology;Technology
57,kaspersky-labs.com,Technology
58,ovscdns.net,Content Servers
59,azure.com,Technology
60,yahoo.com,News & Media
61,xnxx-cdn.com,CIPA Filter;Pornography
62,adnxs.com,Content Servers
63,one.one,Information Technology
64,whatsapp.com,Instant Messengers;Internet Phone & VOIP
65,pki.goog,Information Security
66,pubmatic.com,Business;Technology
67,unity3d.com,Gaming;Technology
68,android.com,Technology
69,cloudflare-dns.com,Content Servers
70,cdninstagram.com,Content Servers
71,atomile.com,No Content
72,tiktokcdn-us.com,Content Servers
73,baidu.com,Search Engines
74,casalemedia.com,Advertisements
75,taboola.com,Business;Advertisements
76,akamaized.net,Content Servers
77,smartadserver.com,Advertisements
78,wsdvs.com,Content Servers
79,qlivecdn.com,
80,byteoversea.net,Content Servers
81,dns.google,Information Technology
82,windowsupdate.com,Information Technology;Business
83,ttdns2.com,
84,openx.net,Advertisements
85,digicert.com,Information Security
86,twitter.com,Social Networks
87,nflxvideo.net,Movies;Television;Video Streaming
88,criteo.com,Business
89,grammarly.com,Information Technology
90,twimg.com,Content Servers
91,appsflyer.com,Business;Technology
92,galsport.win,
93,zemanta.com,Business
94,mzstatic.com,Information Technology;Technology
95,googletagservices.com,Content Servers
96,v-mate.mobi,Gaming
97,hisavana.com,Content Servers
98,outbrain.com,Business;Advertisements
99,byteglb.com,
100,grammarly.io,Information Technology;Content Servers
