rank,domain,categories
1,googleapis.com,Content Servers;Webmail
2,gstatic.com,Content Servers
3,google.com,Search Engines
4,tiktokcdn.com,Content Servers;Social Networks
5,facebook.com,Social Networks
6,tiktokv.com,Social Networks;Video Streaming
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,microsoft.com,Information Technology;Business
9,instagram.com,Social Networks
10,apple.com,Information Technology;Technology
11,googlevideo.com,Search Engines;Video Streaming
12,doubleclick.net,Advertisements
13,shalltry.com,Content Servers
14,akamai.net,Content Servers
15,youtube.com,Video Streaming
16,snapchat.com,Social Networks
17,fbcdn.net,Social Networks
18,ttlivecdn.com,Content Servers
19,cdn77.org,Content Servers
20,gvt2.com,Content Servers
21,googleusercontent.com,Content Servers
22,bing.com,Search Engines
23,akamaiedge.net,Content Servers
24,googlesyndication.com,Search Engines;Advertisements
25,ytimg.com,Content Servers
26,gvt1.com,Content Servers
27,ntp.org,Technology
28,bytefcdn-oversea.com,
29,xnxx-cdn.com,CIPA Filter;Pornography
30,bangcdn.net,Content Servers
31,msn.com,News & Media
32,akadns.net,Content Servers
33,v-mate.mobi,Gaming
34,cloudflare.com,Technology
35,live.com,Technology;Webmail
36,yahoo.com,News & Media
37,byteoversea.net,Content Servers
38,apple-dns.net,Content Servers
39,cloudflare-dns.com,Content Servers
40,whatsapp.com,Instant Messengers;Internet Phone & VOIP
41,amazonaws.com,Technology
42,netflix.com,Movies;Video Streaming
43,icloud.com,File Sharing
44,googleadservices.com,Advertisements
45,office.com,Technology
46,applovin.com,Gaming
47,app-measurement.com,APIs
48,palmplaystore.com,Information Technology
49,unity3d.com,Gaming;Technology
50,ggpht.com,Content Servers
51,tiktokcdn-us.com,Content Servers
52,pangle.io,Content Servers
53,amazon-adsystem.com,Advertisements
54,aaplimg.com,Information Technology;Content Servers;Technology
55,mtgglobals.com,Content Servers
56,palmpay.app,Politics, Advocacy, and Government-Related
57,sc-cdn.net,Content Servers
58,hicloud.com,File Sharing
59,akamaized.net,Content Servers
60,bytefcdn-ttpeu.com,Content Servers
61,cloudfront.net,Content Servers;Science;Technology
62,fastly.net,Information Security;Information Technology;Technology
63,msftncsi.com,Content Servers
64,google.tg,Search Engines
65,appsflyersdk.com,Content Servers
66,windows.com,Information Technology
67,spotify.com,Audio Streaming
68,byteglb.com,
69,office.net,Content Servers
70,kaspersky.com,Technology
71,crashlytics.com,Information Technology
72,skype.com,Instant Messengers;Internet Phone & VOIP
73,rocket-cdn.com,Content Servers
74,lencr.org,Information Technology
75,android.com,Technology
76,googletagmanager.com,Content Servers
77,smartadserver.com,Advertisements
78,ibyteimg.com,Content Servers
79,adnxs.com,Content Servers
80,pki.goog,Information Security
81,twitter.com,Social Networks
82,google-analytics.com,Business;Technology
83,microsoftonline.com,Technology
84,office365.com,Technology
85,rubiconproject.com,Advertisements
86,avcdn.net,Content Servers
87,qq.com,News & Media
88,ttdns2.com,
89,aliyuncs.com,Content Servers
90,msftconnecttest.com,Content Servers
91,dns.google,Information Technology
92,opera.com,Technology
93,atomile.com,No Content
94,vungle.com,Business;Technology
95,transsion-os.com,
96,hisavana.com,Content Servers
97,cdninstagram.com,Content Servers
98,avast.com,Technology
99,googleapis.cn,Content Servers
100,qlivecdn.com,
