rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,tiktokcdn.com,Content Servers;Social Networks
6,microsoft.com,Information Technology;Business
7,gvt2.com,Content Servers
8,apple.com,Information Technology;Technology
9,youtube.com,Video Streaming
10,doubleclick.net,Advertisements
11,fbcdn.net,Social Networks
12,googlevideo.com,Search Engines;Video Streaming
13,tiktokcdn-us.com,Content Servers
14,akamai.net,Content Servers
15,cdn77.org,Content Servers
16,tiktokv.com,Social Networks;Video Streaming
17,akamaiedge.net,Content Servers
18,akadns.net,Content Servers
19,googlesyndication.com,Search Engines;Advertisements
20,instagram.com,Social Networks
21,ytimg.com,Content Servers
22,googleusercontent.com,Content Servers
23,ttlivecdn.com,Content Servers
24,apple-dns.net,Content Servers
25,bytefcdn-oversea.com,
26,google-analytics.com,Business;Technology
27,google.co.th,Search Engines
28,icloud.com,File Sharing
29,line-apps.com,Content Servers
30,googleadservices.com,Advertisements
31,live.com,Technology;Webmail
32,cloudflare.com,Technology
33,bing.com,Search Engines
34,office.com,Technology
35,line-scdn.net,Content Servers
36,amazonaws.com,Technology
37,aaplimg.com,Information Technology;Content Servers;Technology
38,shopee.co.th,Ecommerce
39,ggpht.com,Content Servers
40,googletagmanager.com,Content Servers
41,app-measurement.com,APIs
42,msn.com,News & Media
43,roblox.com,Gaming;Safe for Kids
44,spotify.com,Audio Streaming
45,cloudfront.net,Content Servers;Science;Technology
46,bytefcdn-ttpeu.com,Content Servers
47,worldfcdn2.com,Content Servers
48,netflix.com,Movies;Video Streaming
49,line.me,Instant Messengers;Internet Phone & VOIP
50,naver.jp,
51,cloudflare-dns.com,Content Servers
52,one.one,Information Technology
53,iq.com,Movies;Television;Video Streaming
54,rocket-cdn.com,Content Servers
55,ntp.org,Technology
56,amazon-adsystem.com,Advertisements
57,atomile.com,No Content
58,wsdvs.com,Content Servers
59,twitter.com,Social Networks
60,rubiconproject.com,Advertisements
61,pubmatic.com,Business;Technology
62,rbxcdn.com,Content Servers
63,office.net,Content Servers
64,azure.com,Technology
65,adnxs.com,Content Servers
66,yahoo.com,News & Media
67,gvt1.com,Content Servers
68,criteo.com,Business
69,pki.goog,Information Security
70,qq.com,News & Media
71,vivoglobal.com,Technology
72,baidu.com,Search Engines
73,trafficmanager.net,Content Servers
74,fastly.net,Information Security;Information Technology;Technology
75,qlivecdn.com,
76,applovin.com,Gaming
77,skype.com,Instant Messengers;Internet Phone & VOIP
78,taboola.com,Business;Advertisements
79,appsflyer.com,Business;Technology
80,facebook.net,Social Networks
81,twimg.com,Content Servers
82,windowsupdate.com,Information Technology;Business
83,jsdelivr.net,Content Servers
84,byteoversea.net,Content Servers
85,unity3d.com,Gaming;Technology
86,dns.google,Information Technology
87,digicert.com,Information Security
88,rocket-cdnbp.com,
89,cdninstagram.com,Content Servers
90,taobao.com,Ecommerce
91,microsoftonline.com,Technology
92,msftncsi.com,Content Servers
93,akamaized.net,Content Servers
94,shopeemobile.com,Ecommerce
95,lijit.com,Business
96,tiktok.com,Social Networks;Video Streaming;Advertisements
97,ovscdns.net,Content Servers
98,appsflyersdk.com,Content Servers
99,outlook.com,Webmail
100,alicdn.com,Content Servers
