rank,domain,categories
1,gstatic.com,Content Servers
2,google.com,Search Engines
3,microsoft.com,Information Technology;Business
4,googleapis.com,Content Servers;Webmail
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,doubleclick.net,Advertisements
9,fbcdn.net,Social Networks
10,apple.com,Information Technology;Technology
11,gvt2.com,Content Servers
12,akamai.net,Content Servers
13,live.com,Technology;Webmail
14,tiktokv.com,Social Networks;Video Streaming
15,msn.com,News & Media
16,bing.com,Search Engines
17,youtube.com,Video Streaming
18,office.com,Technology
19,ttlivecdn.com,Content Servers
20,akadns.net,Content Servers
21,instagram.com,Social Networks
22,googlevideo.com,Search Engines;Video Streaming
23,apple-dns.net,Content Servers
24,cdn77.org,Content Servers
25,akamaiedge.net,Content Servers
26,tdatamaster.com,
27,googlesyndication.com,Search Engines;Advertisements
28,googleadservices.com,Advertisements
29,cloudflare-dns.com,Content Servers
30,ytimg.com,Content Servers
31,kaspersky.com,Technology
32,icloud.com,File Sharing
33,windowsupdate.com,Information Technology;Business
34,bytefcdn-oversea.com,
35,office.net,Content Servers
36,whatsapp.com,Instant Messengers;Internet Phone & VOIP
37,amazonaws.com,Technology
38,igamecj.com,Content Servers
39,aaplimg.com,Information Technology;Content Servers;Technology
40,yahoo.com,News & Media
41,microsoftonline.com,Technology
42,msftncsi.com,Content Servers
43,kaspersky-labs.com,Technology
44,cloudflare.com,Technology
45,qlivecdn.com,
46,google-analytics.com,Business;Technology
47,office365.com,Technology
48,app-measurement.com,APIs
49,windows.com,Information Technology
50,xnxx-cdn.com,CIPA Filter;Pornography
51,ui.com,Technology
52,amazon-adsystem.com,Advertisements
53,dns.google,Information Technology
54,meraki.com,
55,bytefcdn-ttpeu.com,Content Servers
56,googleusercontent.com,Content Servers
57,akamaized.net,Content Servers
58,fastly.net,Information Security;Information Technology;Technology
59,google.tl,Search Engines
60,skype.com,Instant Messengers;Internet Phone & VOIP
61,pubmatic.com,Business;Technology
62,msftconnecttest.com,Content Servers
63,rubiconproject.com,Advertisements
64,ggpht.com,Content Servers
65,smartadserver.com,Advertisements
66,googletagmanager.com,Content Servers
67,adnxs.com,Content Servers
68,xnxx.com,CIPA Filter;Pornography
69,digicert.com,Information Security
70,unity3d.com,Gaming;Technology
71,pki.goog,Information Security
72,nr-data.net,Content Servers
73,wikipedia.org,Education
74,byteglb.com,
75,windows.net,Technology
76,adobe.io,Business;Technology
77,rocket-cdn.com,Content Servers
78,adblockplus.org,Information Technology
79,anydesk.com,Information Technology
80,gpubgm.com,
81,atomile.com,No Content
82,byteoversea.com,Content Servers
83,cloudfront.net,Content Servers;Science;Technology
84,mgid.com,Business
85,spotify.com,Audio Streaming
86,ampproject.org,Information Technology
87,cdninstagram.com,Content Servers
88,vivoglobal.com,Technology
89,lencr.org,Information Technology
90,wsdvs.com,Content Servers
91,amsoveasea.com,
92,go.id,
93,amazon.com,Ecommerce
94,ntp.org,Technology
95,opera.com,Technology
96,gcloudcs.com,Gaming
97,mcafee.com,Technology
98,byteoversea.net,Content Servers
99,v-mate.mobi,Gaming
100,sharepoint.com,File Sharing;Technology
