rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,facebook.com,Social Networks
4,gstatic.com,Content Servers
5,tiktokcdn.com,Content Servers;Social Networks
6,microsoft.com,Information Technology;Business
7,youtube.com,Video Streaming
8,tiktokv.com,Social Networks;Video Streaming
9,instagram.com,Social Networks
10,googlevideo.com,Search Engines;Video Streaming
11,fbcdn.net,Social Networks
12,gvt2.com,Content Servers
13,nakheelteam.cc,Technology
14,ytimg.com,Content Servers
15,doubleclick.net,Advertisements
16,apple.com,Information Technology;Technology
17,spotify.com,Audio Streaming
18,cloudflare-dns.com,Content Servers
19,cloudflare.com,Technology
20,whatsapp.net,Instant Messengers;Internet Phone & VOIP
21,ttlivecdn.com,Content Servers
22,googleusercontent.com,Content Servers
23,akamai.net,Content Servers
24,bing.com,Search Engines
25,googlesyndication.com,Search Engines;Advertisements
26,ggpht.com,Content Servers
27,msn.com,News & Media
28,google-analytics.com,Business;Technology
29,live.com,Technology;Webmail
30,opera.com,Technology
31,discord.com,Instant Messengers;Internet Phone & VOIP
32,icloud.com,File Sharing
33,snapchat.com,Social Networks
34,akadns.net,Content Servers
35,netflix.com,Movies;Video Streaming
36,google.tn,Search Engines
37,cdn77.org,Content Servers
38,akamaiedge.net,Content Servers
39,amazonaws.com,Technology
40,office.com,Technology
41,googleadservices.com,Advertisements
42,fast.com,Information Technology
43,cloudfront.net,Content Servers;Science;Technology
44,roblox.com,Gaming;Safe for Kids
45,apple-dns.net,Content Servers
46,windowsupdate.com,Information Technology;Business
47,epicgames.com,Ecommerce;Gaming
48,googletagmanager.com,Content Servers
49,bytefcdn-oversea.com,
50,lencr.org,Information Technology
51,one.one,Information Technology
52,ntp.org,Technology
53,riotgames.com,Gaming
54,twitter.com,Social Networks
55,nvidia.com,Technology
56,cdninstagram.com,Content Servers
57,amazon-adsystem.com,Advertisements
58,gamepass.com,Gaming;Information Technology
59,skype.com,Instant Messengers;Internet Phone & VOIP
60,rbxcdn.com,Content Servers
61,pvp.net,Gaming
62,fbsbx.com,Content Servers
63,akamaized.net,Content Servers
64,aaplimg.com,Information Technology;Content Servers;Technology
65,pki.goog,Information Security
66,msftncsi.com,Content Servers
67,msedge.net,Content Servers
68,adnxs.com,Content Servers
69,yahoo.com,News & Media
70,app-measurement.com,APIs
71,truecaller.com,Information Technology;Professional Networking
72,azureedge.net,Content Servers
73,gvt1.com,Content Servers
74,scdn.co,Content Servers
75,rubiconproject.com,Advertisements
76,windows.com,Information Technology
77,riotcdn.net,Content Servers
78,avcdn.net,Content Servers
79,discordapp.com,Information Technology;Instant Messengers;Internet Phone & VOIP
80,dns.google,Information Technology
81,kaavefali.com,Technology
82,ea.com,Gaming
83,bytefcdn-ttpeu.com,Content Servers
84,brave.com,Information Technology
85,digicert.com,Information Security
86,unity3d.com,Gaming;Technology
87,android.com,Technology
88,linkedin.com,Professional Networking
89,office.net,Content Servers
90,tiktok.com,Social Networks;Video Streaming;Advertisements
91,appsflyersdk.com,Content Servers
92,microsoftonline.com,Technology
93,pubmatic.com,Business;Technology
94,avast.com,Technology
95,msftconnecttest.com,Content Servers
96,shalltry.com,Content Servers
97,criteo.com,Business
98,rocket-cdn.com,Content Servers
99,ttvnw.net,Video Streaming
100,steamstatic.com,Content Servers
