rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,instagram.com,Social Networks
7,tiktokcdn.com,Content Servers;Social Networks
8,apple.com,Information Technology;Technology
9,googlevideo.com,Search Engines;Video Streaming
10,doubleclick.net,Advertisements
11,youtube.com,Video Streaming
12,gvt2.com,Content Servers
13,whatsapp.net,Instant Messengers;Internet Phone & VOIP
14,fbcdn.net,Social Networks
15,googlesyndication.com,Search Engines;Advertisements
16,tiktokv.com,Social Networks;Video Streaming
17,spotify.com,Audio Streaming
18,cloudflare.com,Technology
19,ytimg.com,Content Servers
20,akadns.net,Content Servers
21,googleusercontent.com,Content Servers
22,google.com.tr,Search Engines
23,cloudflare-dns.com,Content Servers
24,bing.com,Search Engines
25,live.com,Technology;Webmail
26,akamai.net,Content Servers
27,google-analytics.com,Business;Technology
28,amazonaws.com,Technology
29,apple-dns.net,Content Servers
30,icloud.com,File Sharing
31,googleadservices.com,Advertisements
32,akamaiedge.net,Content Servers
33,msn.com,News & Media
34,office.com,Technology
35,ggpht.com,Content Servers
36,aaplimg.com,Information Technology;Content Servers;Technology
37,googletagmanager.com,Content Servers
38,cloudfront.net,Content Servers;Science;Technology
39,netflix.com,Movies;Video Streaming
40,twitter.com,Social Networks
41,cdn77.org,Content Servers
42,ntp.org,Technology
43,ttlivecdn.com,Content Servers
44,criteo.com,Business
45,windowsupdate.com,Information Technology;Business
46,snapchat.com,Social Networks
47,gvt1.com,Content Servers
48,bitstreamonline.net,
49,app-measurement.com,APIs
50,amazon-adsystem.com,Advertisements
51,skype.com,Instant Messengers;Internet Phone & VOIP
52,lencr.org,Information Technology
53,yandex.ru,News & Media
54,akamaized.net,Content Servers
55,bytefcdn-oversea.com,
56,roblox.com,Gaming;Safe for Kids
57,opera.com,Technology
58,cdninstagram.com,Content Servers
59,kaavefali.com,Technology
60,twimg.com,Content Servers
61,rubiconproject.com,Advertisements
62,ampproject.org,Information Technology
63,whatsapp.com,Instant Messengers;Internet Phone & VOIP
64,yahoo.com,News & Media
65,adnxs.com,Content Servers
66,yandex.net,News & Media
67,taboola.com,Business;Advertisements
68,fastly.net,Information Security;Information Technology;Technology
69,discord.com,Instant Messengers;Internet Phone & VOIP
70,azure.com,Technology
71,digicert.com,Information Security
72,unity3d.com,Gaming;Technology
73,xiaomi.com,Technology
74,facebook.net,Social Networks
75,dns.google,Information Technology
76,adform.net,Content Servers
77,applovin.com,Gaming
78,windows.com,Information Technology
79,rbxcdn.com,Content Servers
80,amazon.com,Ecommerce
81,trafficmanager.net,Content Servers
82,office365.com,Technology
83,pki.goog,Information Security
84,trendyol.com,Ecommerce;Fashion
85,microsoftonline.com,Technology
86,office.net,Content Servers
87,pubmatic.com,Business;Technology
88,criteo.net,Business
89,nakheelteam.cc,Technology
90,csrqoa.com,Newly Seen Domains
91,epicgames.com,Ecommerce;Gaming
92,panpno.com,Newly Seen Domains
93,scdn.co,Content Servers
94,zhaqby.com,Newly Seen Domains
95,linkedin.com,Professional Networking
96,clarity.ms,Content Servers
97,msftncsi.com,Content Servers
98,gateio.live,Content Servers
99,outlook.com,Webmail
100,gamepass.com,Gaming;Information Technology
