rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,doubleclick.net,Advertisements
8,youtube.com,Video Streaming
9,googlevideo.com,Search Engines;Video Streaming
10,googlesyndication.com,Search Engines;Advertisements
11,gvt2.com,Content Servers
12,icloud.com,File Sharing
13,akadns.net,Content Servers
14,fbcdn.net,Social Networks
15,apple-dns.net,Content Servers
16,googleusercontent.com,Content Servers
17,bing.com,Search Engines
18,tiktokcdn.com,Content Servers;Social Networks
19,instagram.com,Social Networks
20,yahoo.com,News & Media
21,akamaiedge.net,Content Servers
22,live.com,Technology;Webmail
23,cloudflare.com,Technology
24,akamai.net,Content Servers
25,ytimg.com,Content Servers
26,amazonaws.com,Technology
27,msn.com,News & Media
28,google-analytics.com,Business;Technology
29,qq.com,News & Media
30,aaplimg.com,Information Technology;Content Servers;Technology
31,tiktokv.com,Social Networks;Video Streaming
32,office.com,Technology
33,spotify.com,Audio Streaming
34,googleadservices.com,Advertisements
35,cloudflare-dns.com,Content Servers
36,line-apps.com,Content Servers
37,line-scdn.net,Content Servers
38,shopee.tw,Ecommerce
39,skype.com,Instant Messengers;Internet Phone & VOIP
40,google.com.tw,Search Engines
41,googletagmanager.com,Content Servers
42,app-measurement.com,APIs
43,ggpht.com,Content Servers
44,cloudfront.net,Content Servers;Science;Technology
45,naver.jp,
46,ntp.org,Technology
47,windowsupdate.com,Information Technology;Business
48,pki.goog,Information Security
49,criteo.com,Business
50,one.one,Information Technology
51,netflix.com,Movies;Video Streaming
52,line.me,Instant Messengers;Internet Phone & VOIP
53,lencr.org,Information Technology
54,cdn77.org,Content Servers
55,rubiconproject.com,Advertisements
56,baidu.com,Search Engines
57,azure.com,Technology
58,akamaized.net,Content Servers
59,adnxs.com,Content Servers
60,windows.com,Information Technology
61,twitter.com,Social Networks
62,dns.google,Information Technology
63,msftncsi.com,Content Servers
64,surfshark.com,CIPA Filter;Anonymizer
65,amazon-adsystem.com,Advertisements
66,microsoftonline.com,Technology
67,office.net,Content Servers
68,digicert.com,Information Security
69,scorecardresearch.com,Business
70,pubmatic.com,Business;Technology
71,fastly.net,Information Security;Information Technology;Technology
72,taboola.com,Business;Advertisements
73,facebook.net,Social Networks
74,azureedge.net,Content Servers
75,clarity.ms,Content Servers
76,ttlivecdn.com,Content Servers
77,taobao.com,Ecommerce
78,discord.com,Instant Messengers;Internet Phone & VOIP
79,gvt1.com,Content Servers
80,cdninstagram.com,Content Servers
81,douyincdn.com,Content Servers
82,msedge.net,Content Servers
83,trafficmanager.net,Content Servers
84,cdn-apple.com,Content Servers
85,office365.com,Technology
86,gmail.com,Webmail
87,criteo.net,Business
88,mzstatic.com,Information Technology;Technology
89,appier.net,Business
90,unity3d.com,Gaming;Technology
91,appsflyer.com,Business;Technology
92,bytefcdn-oversea.com,
93,app-analytics-services.com,Content Servers
94,msftconnecttest.com,Content Servers
95,bilibili.com,Video Streaming
96,linkedin.com,Professional Networking
97,applovin.com,Gaming
98,gamepass.com,Gaming;Information Technology
99,safebrowsing.apple,Content Servers
100,casalemedia.com,Advertisements
