rank,domain,categories
1,google.com,Search Engines
2,gstatic.com,Content Servers
3,googleapis.com,Content Servers;Webmail
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,gvt2.com,Content Servers
8,whatsapp.net,Instant Messengers;Internet Phone & VOIP
9,tiktokv.com,Social Networks;Video Streaming
10,instagram.com,Social Networks
11,apple.com,Information Technology;Technology
12,youtube.com,Video Streaming
13,doubleclick.net,Advertisements
14,googlevideo.com,Search Engines;Video Streaming
15,akamai.net,Content Servers
16,live.com,Technology;Webmail
17,googleusercontent.com,Content Servers
18,akadns.net,Content Servers
19,fbcdn.net,Social Networks
20,bing.com,Search Engines
21,googlesyndication.com,Search Engines;Advertisements
22,ytimg.com,Content Servers
23,akamaiedge.net,Content Servers
24,cdn77.org,Content Servers
25,ttlivecdn.com,Content Servers
26,snapchat.com,Social Networks
27,office.com,Technology
28,msn.com,News & Media
29,apple-dns.net,Content Servers
30,icloud.com,File Sharing
31,bytefcdn-oversea.com,
32,aaplimg.com,Information Technology;Content Servers;Technology
33,amazonaws.com,Technology
34,kaspersky.com,Technology
35,google-analytics.com,Business;Technology
36,googleadservices.com,Advertisements
37,app-measurement.com,APIs
38,cloudflare-dns.com,Content Servers
39,google.co.tz,Search Engines
40,netflix.com,Movies;Video Streaming
41,cloudfront.net,Content Servers;Science;Technology
42,shalltry.com,Content Servers
43,spotify.com,Audio Streaming
44,office.net,Content Servers
45,ggpht.com,Content Servers
46,yahoo.com,News & Media
47,skype.com,Instant Messengers;Internet Phone & VOIP
48,googletagmanager.com,Content Servers
49,whatsapp.com,Instant Messengers;Internet Phone & VOIP
50,gvt1.com,Content Servers
51,cdninstagram.com,Content Servers
52,cloudflare.com,Technology
53,applovin.com,Gaming
54,kaspersky-labs.com,Technology
55,amazon-adsystem.com,Advertisements
56,ntp.org,Technology
57,akamaized.net,Content Servers
58,one.one,Information Technology
59,windows.com,Information Technology
60,opera.com,Technology
61,bytefcdn-ttpeu.com,Content Servers
62,unity3d.com,Gaming;Technology
63,boomplaymusic.com,Information Technology;Music
64,msftncsi.com,Content Servers
65,bangcdn.net,Content Servers
66,rocket-cdn.com,Content Servers
67,office365.com,Technology
68,msftconnecttest.com,Content Servers
69,pki.goog,Information Security
70,azureedge.net,Content Servers
71,windowsupdate.com,Information Technology;Business
72,dns.google,Information Technology
73,grammarly.io,Information Technology;Content Servers
74,digicert.com,Information Security
75,twitter.com,Social Networks
76,azure.com,Technology
77,microsoftonline.com,Technology
78,tiktokcdn-us.com,Content Servers
79,grammarly.com,Information Technology
80,qq.com,News & Media
81,lencr.org,Information Technology
82,fastly.net,Information Security;Information Technology;Technology
83,vungle.com,Business;Technology
84,go.tz,
85,qlivecdn.com,
86,appsflyersdk.com,Content Servers
87,ibyteimg.com,Content Servers
88,atomile.com,No Content
89,ui.com,Technology
90,pubmatic.com,Business;Technology
91,android.com,Technology
92,avast.com,Technology
93,v-mate.mobi,Gaming
94,wsdvs.com,Content Servers
95,pangle.io,Content Servers
96,adnxs.com,Content Servers
97,mtgglobals.com,Content Servers
98,anydesk.com,Information Technology
99,appsflyer.com,Business;Technology
100,linkedin.com,Professional Networking
