rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,tiktokcdn.com,Content Servers;Social Networks
6,facebook.com,Social Networks
7,gvt2.com,Content Servers
8,tiktokv.com,Social Networks;Video Streaming
9,whatsapp.net,Instant Messengers;Internet Phone & VOIP
10,doubleclick.net,Advertisements
11,bing.com,Search Engines
12,apple.com,Information Technology;Technology
13,googlevideo.com,Search Engines;Video Streaming
14,youtube.com,Video Streaming
15,googlesyndication.com,Search Engines;Advertisements
16,akamai.net,Content Servers
17,office.com,Technology
18,live.com,Technology;Webmail
19,instagram.com,Social Networks
20,akamaiedge.net,Content Servers
21,akadns.net,Content Servers
22,ytimg.com,Content Servers
23,googleusercontent.com,Content Servers
24,cloudflare.com,Technology
25,ttlivecdn.com,Content Servers
26,googleadservices.com,Advertisements
27,msn.com,News & Media
28,cdn77.org,Content Servers
29,office.net,Content Servers
30,cloudfront.net,Content Servers;Science;Technology
31,amazonaws.com,Technology
32,shalltry.com,Content Servers
33,linkedin.com,Professional Networking
34,snapchat.com,Social Networks
35,apple-dns.net,Content Servers
36,google-analytics.com,Business;Technology
37,google.co.ug,Search Engines
38,gvt1.com,Content Servers
39,azureedge.net,Content Servers
40,icloud.com,File Sharing
41,grammarly.com,Artificial Intelligence;Hobbies & Interests
42,bytefcdn-oversea.com,
43,yahoo.com,News & Media
44,fbcdn.net,Social Networks
45,spotify.com,Audio Streaming
46,twitter.com,Social Networks
47,grammarly.io,Information Technology;Content Servers
48,aaplimg.com,Information Technology;Content Servers;Technology
49,whatsapp.com,Instant Messengers;Internet Phone & VOIP
50,amazon-adsystem.com,Advertisements
51,ntp.org,Technology
52,app-measurement.com,APIs
53,skype.com,Instant Messengers;Internet Phone & VOIP
54,ggpht.com,Content Servers
55,bangcdn.net,Content Servers
56,akamaized.net,Content Servers
57,cloudflare-dns.com,Content Servers
58,googletagmanager.com,Content Servers
59,msftncsi.com,Content Servers
60,windowsupdate.com,Information Technology;Business
61,azure.com,Technology
62,criteo.com,Business
63,office365.com,Technology
64,kaspersky.com,Technology
65,rubiconproject.com,Advertisements
66,windows.com,Information Technology
67,dns.google,Information Technology
68,lencr.org,Information Technology
69,applovin.com,Gaming
70,pubmatic.com,Business;Technology
71,opera.com,Technology
72,adnxs.com,Content Servers
73,microsoftonline.com,Technology
74,tiktokcdn-us.com,Content Servers
75,netflix.com,Movies;Video Streaming
76,fastly.net,Information Security;Information Technology;Technology
77,msftconnecttest.com,Content Servers
78,appsflyersdk.com,Content Servers
79,twimg.com,Content Servers
80,bytefcdn-ttpeu.com,Content Servers
81,one.one,Information Technology
82,digicert.com,Information Security
83,taboola.com,Business;Advertisements
84,facebook.net,Social Networks
85,android.com,Technology
86,amazon.com,Ecommerce
87,kaspersky-labs.com,Technology
88,pki.goog,Information Security
89,windows.net,Technology
90,ibyteimg.com,Content Servers
91,rocket-cdn.com,Content Servers
92,atomile.com,No Content
93,wsdvs.com,Content Servers
94,openx.net,Advertisements
95,unity3d.com,Gaming;Technology
96,tiktok.com,Social Networks;Video Streaming;Advertisements
97,qlivecdn.com,
98,appsflyer.com,Business;Technology
99,ampproject.org,Information Technology
100,sharepoint.com,File Sharing;Technology
