rank,domain,categories
1,googleapis.com,Content Servers;Webmail
2,google.com,Search Engines
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,apple.com,Information Technology;Technology
6,facebook.com,Social Networks
7,amazonaws.com,Technology
8,tiktokcdn.com,Content Servers;Social Networks
9,akadns.net,Content Servers
10,doubleclick.net,Advertisements
11,office.com,Technology
12,apple-dns.net,Content Servers
13,akamai.net,Content Servers
14,akamaiedge.net,Content Servers
15,tiktokcdn-us.com,Content Servers
16,bing.com,Search Engines
17,amazon.com,Ecommerce
18,icloud.com,File Sharing
19,live.com,Technology;Webmail
20,youtube.com,Video Streaming
21,googlevideo.com,Search Engines;Video Streaming
22,cloudfront.net,Content Servers;Science;Technology
23,ui.com,Technology
24,ring.com,Business;Photography
25,yahoo.com,News & Media
26,googlesyndication.com,Search Engines;Advertisements
27,spotify.com,Audio Streaming
28,cdn77.org,Content Servers
29,snapchat.com,Social Networks
30,gvt2.com,Content Servers
31,aaplimg.com,Information Technology;Content Servers;Technology
32,googleusercontent.com,Content Servers
33,cloudflare-dns.com,Content Servers
34,instagram.com,Social Networks
35,office.net,Content Servers
36,tiktokv.com,Social Networks;Video Streaming
37,office365.com,Technology
38,amazon-adsystem.com,Advertisements
39,tiktokv.us,Content Servers
40,msn.com,News & Media
41,fbcdn.net,Social Networks
42,netflix.com,Movies;Video Streaming
43,ntp.org,Technology
44,azure.com,Technology
45,adnxs.com,Content Servers
46,rubiconproject.com,Advertisements
47,one.one,Information Technology
48,microsoftonline.com,Technology
49,bytefcdn-oversea.com,
50,fastly.net,Information Security;Information Technology;Technology
51,ttlivecdn.com,Content Servers
52,cloudflare.com,Technology
53,windowsupdate.com,Information Technology;Business
54,windows.net,Technology
55,googleadservices.com,Advertisements
56,pubmatic.com,Business;Technology
57,google-analytics.com,Business;Technology
58,doubleverify.com,Business;Technology
59,ytimg.com,Content Servers
60,app-measurement.com,APIs
61,worldfcdn2.com,Content Servers
62,sharepoint.com,File Sharing;Technology
63,a2z.com,Content Servers
64,amazon.dev,Content Servers
65,trafficmanager.net,Content Servers
66,adsrvr.org,Advertisements
67,lencr.org,Information Technology
68,msftncsi.com,Content Servers
69,skype.com,Instant Messengers;Internet Phone & VOIP
70,pki.goog,Information Security
71,adsafeprotected.com,Advertisements
72,launchdarkly.com,Business
73,googletagmanager.com,Content Servers
74,casalemedia.com,Advertisements
75,digicert.com,Information Security
76,nr-data.net,Content Servers
77,msftconnecttest.com,Content Servers
78,criteo.com,Business
79,windows.com,Information Technology
80,firebaseio.com,Technology
81,akamaized.net,Content Servers
82,rings.solutions,Content Servers
83,gmail.com,Webmail
84,dropbox.com,File Sharing
85,bytefcdn-ttpeu.com,Content Servers
86,openx.net,Advertisements
87,cdn-apple.com,Content Servers
88,outlook.com,Webmail
89,cdninstagram.com,Content Servers
90,taboola.com,Business;Advertisements
91,unity3d.com,Gaming;Technology
92,grammarly.com,Artificial Intelligence;Hobbies & Interests
93,adobe.io,Business;Technology
94,scorecardresearch.com,Business
95,2mdn.net,Content Servers
96,ggpht.com,Content Servers
97,linkedin.com,Professional Networking
98,moatads.com,Business;Technology
99,3lift.com,Business
100,bidswitch.net,Technology
