rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,facebook.com,Social Networks
5,tiktokcdn.com,Content Servers;Social Networks
6,yandex.net,News & Media
7,instagram.com,Social Networks
8,yandex.ru,News & Media
9,tiktokv.com,Social Networks;Video Streaming
10,googlevideo.com,Search Engines;Video Streaming
11,apple.com,Information Technology;Technology
12,youtube.com,Video Streaming
13,microsoft.com,Information Technology;Business
14,doubleclick.net,Advertisements
15,tiktokcdn-us.com,Content Servers
16,akamai.net,Content Servers
17,fbcdn.net,Social Networks
18,amazonaws.com,Technology
19,apple-dns.net,Content Servers
20,gvt2.com,Content Servers
21,ytimg.com,Content Servers
22,akadns.net,Content Servers
23,akamaiedge.net,Content Servers
24,app-measurement.com,APIs
25,ttlivecdn.com,Content Servers
26,mail.ru,Webmail
27,icloud.com,File Sharing
28,aaplimg.com,Information Technology;Content Servers;Technology
29,whatsapp.net,Instant Messengers;Internet Phone & VOIP
30,ntp.org,Technology
31,googleusercontent.com,Content Servers
32,googlesyndication.com,Search Engines;Advertisements
33,cloudflare-dns.com,Content Servers
34,cdn77.org,Content Servers
35,cloudflare.com,Technology
36,google-analytics.com,Business;Technology
37,applovin.com,Gaming
38,ggpht.com,Content Servers
39,2miners.com,Cryptocurrency
40,appsflyersdk.com,Content Servers
41,xiaomi.com,Technology
42,one.one,Information Technology
43,cloudfront.net,Content Servers;Science;Technology
44,dns.google,Information Technology
45,google.co.uz,Search Engines
46,unity3d.com,Gaming;Technology
47,bing.com,Search Engines
48,googletagmanager.com,Content Servers
49,spotify.com,Audio Streaming
50,googleadservices.com,Advertisements
51,cdninstagram.com,Content Servers
52,snapchat.com,Social Networks
53,bytefcdn-oversea.com,
54,amazon-adsystem.com,Advertisements
55,gvt1.com,Content Servers
56,yastatic.net,Technology
57,live.com,Technology;Webmail
58,qq.com,News & Media
59,msn.com,News & Media
60,mtgglobals.com,Content Servers
61,fastly.net,Information Security;Information Technology;Technology
62,pki.goog,Information Security
63,office.com,Technology
64,vk.com,Social Networks
65,skype.com,Instant Messengers;Internet Phone & VOIP
66,miui.com,Technology
67,telegram.org,Instant Messengers
68,lencr.org,Information Technology
69,netflix.com,Movies;Video Streaming
70,appsflyer.com,Business;Technology
71,ok.ru,Social Networks;Video Streaming
72,yahoo.com,News & Media
73,azureedge.net,Content Servers
74,nakheelteam.cc,Technology
75,sentry.io,Business
76,android.com,Technology
77,userapi.com,Social Networks
78,vungle.com,Business;Technology
79,msftncsi.com,Content Servers
80,appcenter.ms,Technology
81,linkedin.com,Professional Networking
82,digicert.com,Information Security
83,crashlytics.com,Information Technology
84,akamaized.net,Content Servers
85,samsungcloud.com,Content Servers
86,opera.com,Technology
87,worldfcdn2.com,Content Servers
88,ampproject.org,Information Technology
89,xiaomi.net,Information Technology;Technology
90,cdn-apple.com,Content Servers
91,mycdn.me,Content Servers
92,2mdn.net,Content Servers
93,rubiconproject.com,Advertisements
94,adriver.ru,Advertisements
95,adnxs.com,Content Servers
96,facebook.net,Social Networks
97,yandex.uz,Music;News & Media;Search Engines
98,samsung.com,Home & Garden;Technology
99,twitter.com,Social Networks
100,bytefcdn-ttpeu.com,Content Servers
