rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,akamai.net,Content Servers
6,facebook.com,Social Networks
7,apple.com,Information Technology;Technology
8,youtube.com,Video Streaming
9,cloudfront.net,Content Servers;Science;Technology
10,doubleclick.net,Advertisements
11,amazonaws.com,Technology
12,akamaiedge.net,Content Servers
13,googlevideo.com,Search Engines;Video Streaming
14,whatsapp.net,Instant Messengers;Internet Phone & VOIP
15,bing.com,Search Engines
16,tiktokcdn.com,Content Servers;Social Networks
17,apple-dns.net,Content Servers
18,instagram.com,Social Networks
19,gvt2.com,Content Servers
20,live.com,Technology;Webmail
21,tiktokv.com,Social Networks;Video Streaming
22,trafficmanager.net,Content Servers
23,fastly.net,Information Security;Information Technology;Technology
24,akadns.net,Content Servers
25,cloudflare.com,Technology
26,googlesyndication.com,Search Engines;Advertisements
27,googleusercontent.com,Content Servers
28,cloudflare-dns.com,Content Servers
29,lencr.org,Information Technology
30,icloud.com,File Sharing
31,aaplimg.com,Information Technology;Content Servers;Technology
32,cdn77.org,Content Servers
33,fbcdn.net,Social Networks
34,google-analytics.com,Business;Technology
35,ytimg.com,Content Servers
36,office.com,Technology
37,yahoo.com,News & Media
38,googletagmanager.com,Content Servers
39,azure.com,Technology
40,ntp.org,Technology
41,amazon-adsystem.com,Advertisements
42,linkedin.com,Professional Networking
43,msn.com,News & Media
44,amazon.com,Ecommerce
45,snapchat.com,Social Networks
46,spotify.com,Audio Streaming
47,windowsupdate.com,Information Technology;Business
48,zoom.us,Technology
49,rubiconproject.com,Advertisements
50,office.net,Content Servers
51,app-measurement.com,APIs
52,ggpht.com,Content Servers
53,googleadservices.com,Advertisements
54,windows.net,Technology
55,netflix.com,Movies;Video Streaming
56,adnxs.com,Content Servers
57,akamaized.net,Content Servers
58,ttlivecdn.com,Content Servers
59,skype.com,Instant Messengers;Internet Phone & VOIP
60,microsoftonline.com,Technology
61,pki.goog,Information Security
62,ui.com,Technology
63,grammarly.com,Artificial Intelligence;Hobbies & Interests
64,smartadserver.com,Advertisements
65,digicert.com,Information Security
66,licdn.com,Content Servers
67,grammarly.io,Information Technology;Content Servers
68,pubmatic.com,Business;Technology
69,sentry.io,Business
70,outlook.com,Webmail
71,surfshark.com,CIPA Filter;Anonymizer
72,windows.com,Information Technology
73,gmail.com,Webmail
74,clarity.ms,Content Servers
75,cdn-apple.com,Content Servers
76,unity3d.com,Gaming;Technology
77,ubuntu.com,Technology
78,office365.com,Technology
79,appcenter.ms,Technology
80,dns.google,Information Technology
81,msftconnecttest.com,Content Servers
82,bytefcdn-oversea.com,
83,criteo.com,Business
84,unifi-ai.com,Content Servers
85,twimg.com,Content Servers
86,casalemedia.com,Advertisements
87,azureedge.net,Content Servers
88,tiktokcdn-us.com,Content Servers
89,dropbox.com,File Sharing
90,hp.com,Technology
91,msidentity.com,Information Technology
92,zemanta.com,Business
93,google.co.uk,Search Engines
94,adform.net,Content Servers
95,sc-cdn.net,Content Servers
96,openx.net,Advertisements
97,facebook.net,Social Networks
98,githubusercontent.com,Technology
99,msftncsi.com,Content Servers
100,whatsapp.com,Instant Messengers;Internet Phone & VOIP
