rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,gstatic.com,Content Servers
4,googleapis.com,Content Servers;Webmail
5,facebook.com,Social Networks
6,apple.com,Information Technology;Technology
7,tiktokcdn.com,Content Servers;Social Networks
8,ui.com,Technology
9,amazonaws.com,Technology
10,akadns.net,Content Servers
11,amazon.com,Ecommerce
12,office.com,Technology
13,tiktokcdn-us.com,Content Servers
14,akamaiedge.net,Content Servers
15,apple-dns.net,Content Servers
16,live.com,Technology;Webmail
17,doubleclick.net,Advertisements
18,akamai.net,Content Servers
19,cdn77.org,Content Servers
20,bing.com,Search Engines
21,yahoo.com,News & Media
22,whatsapp.net,Instant Messengers;Internet Phone & VOIP
23,icloud.com,File Sharing
24,cloudfront.net,Content Servers;Science;Technology
25,googleusercontent.com,Content Servers
26,snapchat.com,Social Networks
27,netflix.com,Movies;Video Streaming
28,msn.com,News & Media
29,youtube.com,Video Streaming
30,tiktokv.com,Social Networks;Video Streaming
31,tiktokv.us,Content Servers
32,googlevideo.com,Search Engines;Video Streaming
33,aaplimg.com,Information Technology;Content Servers;Technology
34,spotify.com,Audio Streaming
35,atnisolutions.com,
36,fbcdn.net,Social Networks
37,gvt2.com,Content Servers
38,googlesyndication.com,Search Engines;Advertisements
39,office.net,Content Servers
40,bytefcdn-oversea.com,
41,instagram.com,Social Networks
42,dropbox.com,File Sharing
43,office365.com,Technology
44,ttlivecdn.com,Content Servers
45,ring.com,Business;Photography
46,pandora.com,Audio Streaming
47,amazon-adsystem.com,Advertisements
48,ntp.org,Technology
49,fastly.net,Information Security;Information Technology;Technology
50,windowsupdate.com,Information Technology;Business
51,googleadservices.com,Advertisements
52,a2z.com,Content Servers
53,microsoftonline.com,Technology
54,lencr.org,Information Technology
55,pki.goog,Information Security
56,roblox.com,Gaming;Safe for Kids
57,azure.com,Technology
58,worldfcdn2.com,Content Servers
59,pubmatic.com,Business;Technology
60,msftncsi.com,Content Servers
61,adobe.com,Technology
62,ytimg.com,Content Servers
63,digicert.com,Information Security
64,one.one,Information Technology
65,outlook.com,Webmail
66,cloudflare.com,Technology
67,bytefcdn-ttpeu.com,Content Servers
68,cdn-apple.com,Content Servers
69,akamaized.net,Content Servers
70,app-measurement.com,APIs
71,launchdarkly.com,Business
72,grammarly.io,Information Technology;Content Servers
73,adnxs.com,Content Servers
74,cloudflare-dns.com,Content Servers
75,amazon.dev,Content Servers
76,grammarly.com,Artificial Intelligence;Hobbies & Interests
77,windows.com,Information Technology
78,skype.com,Instant Messengers;Internet Phone & VOIP
79,gmail.com,Webmail
80,ggpht.com,Content Servers
81,amazonalexa.com,Content Servers
82,adobe.io,Business;Technology
83,windows.net,Technology
84,rubiconproject.com,Advertisements
85,sc-cdn.net,Content Servers
86,google-analytics.com,Business;Technology
87,scorecardresearch.com,Business
88,ubnt.com,Technology;Advertisements
89,rings.solutions,Content Servers
90,3lift.com,Business
91,rocket-cdn.com,Content Servers
92,google.co.vi,News, Portal & Search
93,roku.com,Ecommerce;Technology;Video Streaming
94,googletagmanager.com,Content Servers
95,amazonvideo.com,Movies;Television;Video Streaming
96,app-analytics-services.com,Content Servers
97,casalemedia.com,Advertisements
98,nr-data.net,Content Servers
99,unifi-ai.com,Content Servers
100,mcafee.com,Technology
