rank,domain,categories
1,google.com,Search Engines
2,facebook.com,Social Networks
3,tiktokcdn.com,Content Servers;Social Networks
4,googleapis.com,Content Servers;Webmail
5,gstatic.com,Content Servers
6,fbcdn.net,Social Networks
7,apple.com,Information Technology;Technology
8,tiktokcdn-us.com,Content Servers
9,microsoft.com,Information Technology;Business
10,akamai.net,Content Servers
11,cdn77.org,Content Servers
12,tiktokv.com,Social Networks;Video Streaming
13,gvt2.com,Content Servers
14,googlevideo.com,Search Engines;Video Streaming
15,youtube.com,Video Streaming
16,zalo.me,Instant Messengers
17,ttlivecdn.com,Content Servers
18,doubleclick.net,Advertisements
19,zdn.vn,Gaming
20,akadns.net,Content Servers
21,akamaiedge.net,Content Servers
22,bytefcdn-oversea.com,
23,apple-dns.net,Content Servers
24,zadn.vn,Content Servers
25,zaloapp.com,Instant Messengers
26,googleusercontent.com,Content Servers
27,icloud.com,File Sharing
28,googlesyndication.com,Search Engines;Advertisements
29,ytimg.com,Content Servers
30,app-measurement.com,APIs
31,google-analytics.com,Business;Technology
32,cloudflare-dns.com,Content Servers
33,aaplimg.com,Information Technology;Content Servers;Technology
34,shopee.vn,Ecommerce
35,worldfcdn2.com,Content Servers
36,google.com.vn,Search Engines
37,instagram.com,Social Networks
38,bytefcdn-ttpeu.com,Content Servers
39,live.com,Technology;Webmail
40,cloudflare.com,Technology
41,googletagmanager.com,Content Servers
42,bing.com,Search Engines
43,rocket-cdn.com,Content Servers
44,ggpht.com,Content Servers
45,googleadservices.com,Advertisements
46,amazonaws.com,Technology
47,cloudfront.net,Content Servers;Science;Technology
48,ntp.org,Technology
49,wsdvs.com,Content Servers
50,atomile.com,No Content
51,qq.com,News & Media
52,one.one,Information Technology
53,roblox.com,Gaming;Safe for Kids
54,office.com,Technology
55,msn.com,News & Media
56,applovin.com,Gaming
57,qlivecdn.com,
58,gvt1.com,Content Servers
59,pki.goog,Information Security
60,spotify.com,Audio Streaming
61,coccoc.com,Information Technology
62,appsflyer.com,Business;Technology
63,appsflyersdk.com,Content Servers
64,zing.vn,News & Media
65,dns.google,Information Technology
66,rbxcdn.com,Content Servers
67,shopeemobile.com,Ecommerce
68,rocket-cdnbp.com,
69,skype.com,Instant Messengers;Internet Phone & VOIP
70,unity3d.com,Gaming;Technology
71,rubiconproject.com,Advertisements
72,fastly.net,Information Security;Information Technology;Technology
73,facebook.net,Social Networks
74,pubmatic.com,Business;Technology
75,byteoversea.com,Content Servers
76,amazon-adsystem.com,Advertisements
77,criteo.com,Business
78,ovscdns.net,Content Servers
79,netflix.com,Movies;Video Streaming
80,azure.com,Technology
81,riotgames.com,Gaming
82,fbsbx.com,Content Servers
83,office.net,Content Servers
84,adnxs.com,Content Servers
85,ibyteimg.com,Content Servers
86,garena.com,Gaming
87,byteoversea.net,Content Servers
88,tiktok.com,Social Networks;Video Streaming;Advertisements
89,cdn-apple.com,Content Servers
90,yahoo.com,News & Media
91,digicert.com,Information Security
92,heytapmobile.com,Content Servers
93,baidu.com,Search Engines
94,susercontent.com,No Content
95,pangle.io,Content Servers
96,ampproject.org,Information Technology
97,heytapdl.com,Content Servers
98,bytetcdn.com,Content Servers
99,windowsupdate.com,Information Technology;Business
100,gmail.com,Webmail
