rank,domain,categories
1,google.com,Search Engines
2,microsoft.com,Information Technology;Business
3,googleapis.com,Content Servers;Webmail
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,office.com,Technology
7,bing.com,Search Engines
8,live.com,Technology;Webmail
9,googlevideo.com,Search Engines;Video Streaming
10,tiktokcdn.com,Content Servers;Social Networks
11,office.net,Content Servers
12,msn.com,News & Media
13,gvt2.com,Content Servers
14,fbcdn.net,Social Networks
15,googleusercontent.com,Content Servers
16,apple.com,Information Technology;Technology
17,youtube.com,Video Streaming
18,amazonaws.com,Technology
19,tiktokv.com,Social Networks;Video Streaming
20,microsoftonline.com,Technology
21,ytimg.com,Content Servers
22,akadns.net,Content Servers
23,doubleclick.net,Advertisements
24,office365.com,Technology
25,apple-dns.net,Content Servers
26,skype.com,Instant Messengers;Internet Phone & VOIP
27,akamai.net,Content Servers
28,icloud.com,File Sharing;Content Servers
29,windows.net,Technology
30,akamaiedge.net,Content Servers
31,aaplimg.com,Information Technology;Content Servers;Technology
32,cloudflare-dns.com,Content Servers
33,ui.com,Technology
34,netflix.com,Movies;Video Streaming
35,yahoo.com,News & Media
36,whatsapp.net,Instant Messengers;Internet Phone & VOIP
37,app-measurement.com,APIs
38,windows.com,Information Technology
39,nr-data.net,Content Servers
40,qq.com,News & Media
41,cloudflare.com,Technology
42,instagram.com,Social Networks
43,ttlivecdn.com,Content Servers
44,cloudfront.net,Content Servers;Science;Technology
45,msedge.net,Content Servers
46,amazon-adsystem.com,Advertisements
47,avast.com,Technology
48,msftconnecttest.com,Content Servers
49,cdn77.org,Content Servers
50,gmail.com,Webmail
51,linkedin.com,Professional Networking
52,googlesyndication.com,Search Engines;Advertisements
53,slack.com,Instant Messengers
54,pki.goog,Information Security
55,adnxs.com,Content Servers
56,spotify.com,Audio Streaming
57,msftncsi.com,Content Servers
58,avcdn.net,Content Servers
59,launchdarkly.com,Business
60,sharepoint.com,File Sharing;Technology
61,google-analytics.com,Business;Technology
62,lencr.org,Information Technology
63,fastly.net,Information Security;Information Technology;Technology
64,windowsupdate.com,Information Technology;Business
65,xero.com,Economy & Finance;Business
66,amazon.com,Ecommerce
67,ntp.org,Technology
68,itsupport247.net,Technology
69,snapchat.com,Social Networks
70,webrootcloudav.com,Information Technology
71,digicert.com,Information Security
72,azure.com,Technology
73,taboola.com,Business;Advertisements
74,azureedge.net,Content Servers
75,akamaized.net,Content Servers
76,fbsbx.com,Content Servers
77,trafficmanager.net,Content Servers
78,threatseeker.com,Content Servers
79,entrust.net,Information Security
80,dropbox.com,File Sharing
81,ubnt.com,Technology;Advertisements
82,bytefcdn-oversea.com,
83,watchguard.com,Information Technology
84,googletagmanager.com,Content Servers
85,appcenter.ms,Technology
86,mcafee.com,Technology
87,unity3d.com,Gaming;Technology
88,googleadservices.com,Advertisements
89,pubmatic.com,Business;Technology
90,eset.com,Technology
91,appsflyersdk.com,Content Servers
92,grammarly.com,Artificial Intelligence;Hobbies & Interests
93,bitdefender.net,Information Security;Technology
94,baidu.com,Search Engines
95,booking.com,Travel
96,google.vu,Search Engines
97,casalemedia.com,Advertisements
98,ggpht.com,Content Servers
99,bitdefender.com,Information Security;Technology
100,ampproject.org,Information Technology
