rank,domain,categories
1,microsoft.com,Information Technology;Business
2,google.com,Search Engines
3,gstatic.com,Content Servers
4,googleapis.com,Content Servers;Webmail
5,facebook.com,Social Networks
6,msn.com,News & Media
7,youtube.com,Video Streaming
8,doubleclick.net,Advertisements
9,office.com,Technology
10,tiktokcdn.com,Content Servers;Social Networks
11,tiktokv.com,Social Networks;Video Streaming
12,akamaiedge.net,Content Servers
13,live.com,Technology;Webmail
14,fbcdn.net,Social Networks
15,bing.com,Search Engines
16,akadns.net,Content Servers
17,apple.com,Information Technology;Technology
18,netflix.com,Movies;Video Streaming
19,tiktokcdn-us.com,Content Servers
20,ttlivecdn.com,Content Servers
21,akamai.net,Content Servers
22,googlevideo.com,Search Engines;Video Streaming
23,app-measurement.com,APIs
24,ntp.org,Technology
25,instagram.com,Social Networks
26,googleusercontent.com,Content Servers
27,office.net,Content Servers
28,ytimg.com,Content Servers
29,snapchat.com,Social Networks
30,amazon-adsystem.com,Advertisements
31,gvt2.com,Content Servers
32,unity3d.com,Gaming;Technology
33,googlesyndication.com,Search Engines;Advertisements
34,gvt1.com,Content Servers
35,fastly.net,Information Security;Information Technology;Technology
36,cdn77.org,Content Servers
37,apple-dns.net,Content Servers
38,icloud.com,File Sharing
39,applovin.com,Gaming
40,domain.name,
41,loina.wf,Auctions & Marketplaces;News & Media;Personal Blogs
42,ggpht.com,Content Servers
43,skype.com,Instant Messengers;Internet Phone & VOIP
44,msftncsi.com,Content Servers
45,yahoo.com,News & Media
46,root-servers.net,Technology
47,aaplimg.com,Information Technology;Content Servers;Technology
48,inner-active.mobi,Content Servers
49,appsflyersdk.com,Content Servers
50,samsung.com,Home & Garden;Technology
51,amazonaws.com,Technology
52,avast.com,Technology
53,xiaomi.com,Technology
54,akamaized.net,Content Servers
55,adnxs.com,Content Servers
56,windowsupdate.com,Information Technology;Business
57,cdninstagram.com,Content Servers
58,sc-cdn.net,Content Servers
59,ibyteimg.com,Content Servers
60,cloudfront.net,Content Servers;Science;Technology
61,azure.com,Technology
62,scorecardresearch.com,Business
63,whatsapp.net,Instant Messengers;Internet Phone & VOIP
64,pki.goog,Information Security
65,trafficmanager.net,Content Servers
66,amazon.com,Ecommerce
67,office365.com,Technology
68,bytefcdn-oversea.com,
69,one.one,Information Technology
70,remotepc.com,Information Technology
71,avcdn.net,Content Servers
72,mediatek.com,Technology
73,nflxvideo.net,Movies;Television;Video Streaming
74,isnssdk.com,Content Servers
75,digicert.com,Information Security
76,giphy.com,Technology
77,googletagmanager.com,Content Servers
77,nflxso.net,Content Servers
79,microsoftonline.com,Technology
80,pangle.io,Content Servers
81,vungle.com,Business;Technology
81,inmobi.com,Business
83,mtgglobals.com,Content Servers
83,fbsbx.com,Content Servers
85,sc-gw.com,Content Servers
86,appcenter.ms,Technology
87,samsungosp.com,Content Servers
88,ubnt.com,Technology;Advertisements
89,canal-plus.com,Content Servers
90,outlook.com,Webmail
91,roblox.com,Gaming;Safe for Kids
92,rbxcdn.com,Content Servers
93,samsungapps.com,Technology
94,googleadservices.com,Advertisements
94,cdn-apple.com,Content Servers
96,samsungcloud.com,Content Servers
97,mozilla.org,Technology
98,mozilla.com,Information Technology
99,msidentity.com,Information Technology
100,azureedge.net,Content Servers
