rank,domain,categories
1,googleapis.com,Content Servers;Webmail
2,google.com,Search Engines
3,gstatic.com,Content Servers
4,tiktokcdn.com,Content Servers;Social Networks
5,facebook.com,Social Networks
6,nakheelteam.cc,Technology
7,tiktokv.com,Social Networks;Video Streaming
8,gvt2.com,Content Servers
9,partystar.cloud,
10,whatsapp.net,Instant Messengers;Internet Phone & VOIP
11,doubleclick.net,Advertisements
12,apple.com,Information Technology;Technology
13,youtube.com,Video Streaming
14,xnxx-cdn.com,CIPA Filter;Pornography
15,googlevideo.com,Search Engines;Video Streaming
16,amazonaws.com,Technology
17,snapchat.com,Social Networks
18,googleusercontent.com,Content Servers
19,akamai.net,Content Servers
20,fbcdn.net,Social Networks
21,instagram.com,Social Networks
22,cloudfront.net,Content Servers;Science;Technology
23,ttlivecdn.com,Content Servers
24,googlesyndication.com,Search Engines;Advertisements
25,google-analytics.com,Business;Technology
26,apple-dns.net,Content Servers
27,ytimg.com,Content Servers
28,cdn77.org,Content Servers
29,app-measurement.com,APIs
30,microsoft.com,Information Technology;Business
31,gvt1.com,Content Servers
32,cloudflare.com,Technology
33,aaplimg.com,Information Technology;Content Servers;Technology
34,akamaiedge.net,Content Servers
35,akadns.net,Content Servers
36,aliyuncs.com,Content Servers
37,googletagmanager.com,Content Servers
38,twitter.com,Social Networks
39,googleadservices.com,Advertisements
40,icloud.com,File Sharing
41,igamecj.com,Content Servers
42,twimg.com,Content Servers
43,ttapis.com,
44,letspartystar.com,Economy & Finance;Travel
45,cdninstagram.com,Content Servers
46,ggpht.com,Content Servers
47,sc-cdn.net,Content Servers
48,partying.sg,Gaming;Chat
49,unity3d.com,Gaming;Technology
50,pangle.io,Content Servers
51,amazon-adsystem.com,Advertisements
52,fbsbx.com,Content Servers
53,bytefcdn-oversea.com,
54,bing.com,Search Engines
55,dns.google,Information Technology
56,xvideos-cdn.com,CIPA Filter;Pornography
57,tdatamaster.com,
58,applovin.com,Gaming
59,tango.me,Chat;Video Streaming
60,whatsapp.com,Instant Messengers;Internet Phone & VOIP
61,afcdn.net,Miscellaneous
62,t.co,Redirect;Social Networks
63,fastly.net,Information Security;Information Technology;Technology
64,pki.goog,Information Security
65,orbsrv.com,Content Servers
66,xnxx.com,CIPA Filter;Pornography
67,v-mate.mobi,Gaming
68,sc-gw.com,Content Servers
69,appsflyersdk.com,Content Servers
70,tiktokcdn-us.com,Content Servers
71,adsco.re,Advertisements
72,vungle.com,Business;Technology
73,eclastio.com,
74,android.com,Technology
75,isnssdk.com,Content Servers
76,xiaomi.com,Technology
77,appsflyer.com,Business;Technology
78,helpshift.com,Business
79,crashlytics.com,Information Technology
80,pushimg.com,Content Servers
81,ntp.org,Technology
82,musiclike.top,
83,gmail.com,Webmail
84,pepepush.net,Content Servers
85,xhcdn.com,CIPA Filter;Pornography
86,office.com,Technology
87,yahoo.com,News & Media
88,tsyndicate.com,Content Servers
89,nwmnd.com,Content Servers
90,bytefcdn-ttpeu.com,Content Servers
91,adtng.com,Content Servers
92,byteoversea.net,Content Servers
93,criteo.com,Business
94,umeng.com,Technology
95,yandex.ru,News & Media
96,facebook.net,Social Networks
97,partyother.com,
98,flat-ads.com,Advertisements
99,like.video,Information Technology
100,digicert.com,Information Security
