rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,microsoft.com,Information Technology;Business
4,gstatic.com,Content Servers
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,doubleclick.net,Advertisements
8,youtube.com,Video Streaming
9,googlevideo.com,Search Engines;Video Streaming
10,tiktokv.com,Social Networks;Video Streaming
11,office.com,Technology
12,gvt2.com,Content Servers
13,whatsapp.net,Instant Messengers;Internet Phone & VOIP
14,apple.com,Information Technology;Technology
15,live.com,Technology;Webmail
16,googlesyndication.com,Search Engines;Advertisements
17,bing.com,Search Engines
18,netflix.com,Movies;Video Streaming
19,ntp.org,Technology
20,googleusercontent.com,Content Servers
21,amazonaws.com,Technology
22,akamai.net,Content Servers
23,spotify.com,Audio Streaming
24,msn.com,News & Media
25,instagram.com,Social Networks
26,akadns.net,Content Servers
27,ytimg.com,Content Servers
28,akamaiedge.net,Content Servers
29,fbcdn.net,Social Networks
30,googleadservices.com,Advertisements
31,gboxlab.com,Information Technology
32,skype.com,Instant Messengers;Internet Phone & VOIP
33,google.co.za,Search Engines
34,office365.com,Technology
35,cloudfront.net,Content Servers;Science;Technology
36,yahoo.com,News & Media
37,ttlivecdn.com,Content Servers
38,office.net,Content Servers
39,google-analytics.com,Business;Technology
40,windowsupdate.com,Information Technology;Business
41,microsoftonline.com,Technology
42,cloudflare.com,Technology
43,amazon-adsystem.com,Advertisements
44,apple-dns.net,Content Servers
45,azure.com,Technology
46,cdn77.org,Content Servers
47,icloud.com,File Sharing
48,cloudflare-dns.com,Content Servers
49,ui.com,Technology
50,ggpht.com,Content Servers
51,windows.net,Technology
52,akamaized.net,Content Servers
53,aaplimg.com,Information Technology;Content Servers;Technology
54,gvt1.com,Content Servers
55,adnxs.com,Content Servers
56,lencr.org,Information Technology
57,googletagmanager.com,Content Servers
58,snapchat.com,Social Networks
59,msftncsi.com,Content Servers
60,app-measurement.com,APIs
61,trafficmanager.net,Content Servers
62,windows.com,Information Technology
63,rubiconproject.com,Advertisements
64,sharepoint.com,File Sharing;Technology
65,bytefcdn-oversea.com,
66,hicloud.com,File Sharing
67,smartadserver.com,Advertisements
68,pubmatic.com,Business;Technology
69,gmail.com,Webmail
70,appcenter.ms,Technology
71,amazon.com,Ecommerce
72,dbankcloud.com,Technology
73,twitter.com,Social Networks
74,linkedin.com,Professional Networking
75,whatsapp.com,Instant Messengers;Internet Phone & VOIP
76,digicert.com,Information Security
77,casalemedia.com,Advertisements
78,applovin.com,Gaming
79,msftconnecttest.com,Content Servers
80,eset.com,Technology
81,unity3d.com,Gaming;Technology
82,criteo.com,Business
83,bidswitch.net,Technology
84,openx.net,Advertisements
85,one.one,Information Technology
86,appsflyersdk.com,Content Servers
87,dropbox.com,File Sharing
88,grammarly.com,Information Technology
89,samsungcloud.com,Content Servers
90,adsafeprotected.com,Advertisements
91,dstv.com,Movies;Television;Video Streaming
92,android.com,Technology
93,facebook.net,Social Networks
94,clarity.ms,Content Servers
95,nflxso.net,Content Servers
96,2mdn.net,Content Servers
97,bytefcdn-ttpeu.com,Content Servers
98,nr-data.net,Content Servers
99,dbankcloud.cn,Technology
100,opera.com,Technology
