rank,domain,categories
1,google.com,Search Engines
2,googleapis.com,Content Servers;Webmail
3,gstatic.com,Content Servers
4,microsoft.com,Information Technology;Business
5,facebook.com,Social Networks
6,tiktokcdn.com,Content Servers;Social Networks
7,whatsapp.net,Instant Messengers;Internet Phone & VOIP
8,gvt2.com,Content Servers
9,doubleclick.net,Advertisements
10,youtube.com,Video Streaming
11,tiktokv.com,Social Networks;Video Streaming
12,googlevideo.com,Search Engines;Video Streaming
13,bing.com,Search Engines
14,fbcdn.net,Social Networks
15,instagram.com,Social Networks
16,live.com,Technology;Webmail
17,apple.com,Information Technology;Technology
18,googlesyndication.com,Search Engines;Advertisements
19,ytimg.com,Content Servers
20,googleusercontent.com,Content Servers
21,whatsapp.com,Instant Messengers;Internet Phone & VOIP
22,office.com,Technology
23,msn.com,News & Media
24,office.net,Content Servers
25,skype.com,Instant Messengers;Internet Phone & VOIP
26,cloudflare.com,Technology
27,googleadservices.com,Advertisements
28,google-analytics.com,Business;Technology
29,spotify.com,Audio Streaming
30,akamai.net,Content Servers
31,akadns.net,Content Servers
32,cloudflare-dns.com,Content Servers
33,amazonaws.com,Technology
34,ntp.org,Technology
35,cloudfront.net,Content Servers;Science;Technology
36,apple-dns.net,Content Servers
37,shalltry.com,Content Servers
38,google.co.zw,Search Engines
39,akamaized.net,Content Servers
40,app-measurement.com,APIs
41,icloud.com,File Sharing
42,gvt1.com,Content Servers
43,msftconnecttest.com,Content Servers
44,amazon-adsystem.com,Advertisements
45,akamaiedge.net,Content Servers
46,grammarly.com,Artificial Intelligence;Hobbies & Interests
47,yahoo.com,News & Media
48,adnxs.com,Content Servers
49,ttlivecdn.com,Content Servers
50,windows.com,Information Technology
51,linkedin.com,Professional Networking
52,googletagmanager.com,Content Servers
53,applovin.com,Gaming
54,ggpht.com,Content Servers
55,snapchat.com,Social Networks
56,netflix.com,Movies;Video Streaming
57,v-mate.mobi,Gaming
58,microsoftonline.com,Technology
59,aaplimg.com,Information Technology;Content Servers;Technology
60,grammarly.io,Information Technology;Content Servers
61,azureedge.net,Content Servers
62,office365.com,Technology
63,cdn77.org,Content Servers
64,pubmatic.com,Business;Technology
65,cdninstagram.com,Content Servers
66,rubiconproject.com,Advertisements
67,digicert.com,Information Security
68,lencr.org,Information Technology
69,twitter.com,Social Networks
70,bytefcdn-oversea.com,
71,azure.com,Technology
72,anydesk.com,Information Technology
73,windowsupdate.com,Information Technology;Business
74,appsflyersdk.com,Content Servers
75,unity3d.com,Gaming;Technology
76,vungle.com,Business;Technology
77,taboola.com,Business;Advertisements
78,opera.com,Technology
79,appcenter.ms,Technology
80,kaspersky.com,Technology
81,sharepoint.com,File Sharing;Technology
82,bangcdn.net,Content Servers
83,msftncsi.com,Content Servers
84,criteo.com,Business
85,ampproject.org,Information Technology
86,dns.google,Information Technology
87,pinterest.com,Photography;Social Networks
88,twimg.com,Content Servers
89,xnxx-cdn.com,CIPA Filter;Pornography
90,licdn.com,Content Servers
91,pki.goog,Information Security
92,amazon.com,Ecommerce
93,scorecardresearch.com,Business
94,mcafee.com,Technology
95,avast.com,Technology
96,adobe.com,Technology
97,ui.com,Technology
98,wshareit.com,Content Servers
99,casalemedia.com,Advertisements
100,bidswitch.net,Technology
